block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,8589.073,201.088,2.7449,5.4117,1.1e-07,5.26e-09,119.99,102.93,95.0,269.99,4.8
1.1,8590.147,146.604,2.9711,4.0353,1.11e-07,5.34e-09,119.99,102.93,95.0,269.99,4.8
2.2,8591.227,143.417,2.9965,3.8789,1.11e-07,5.32e-09,119.99,102.93,95.0,270.0,4.8
3.3,8592.326,190.588,2.9261,5.1614,1.11e-07,5.23e-09,119.99,102.93,95.0,270.0,4.8
4.4,8593.415,131.631,2.9383,5.0989,1.11e-07,5.21e-09,119.99,102.93,95.0,270.0,4.8
5.4,8594.476,198.945,2.6004,5.5055,1.12e-07,5.23e-09,119.99,102.93,95.0,269.99,4.8
6.5,8595.563,172.674,3.0377,5.1927,1.11e-07,5.2e-09,119.99,102.93,95.0,269.99,4.8
7.6,8596.641,163.922,2.408,5.005,1.1e-07,5.31e-09,119.99,102.93,95.0,269.99,4.8
8.7,8597.715,199.472,2.9214,5.5055,1.11e-07,5.35e-09,120.0,102.92,95.0,270.0,4.8
9.7,8598.782,177.436,2.7393,5.2866,1.11e-07,5.36e-09,119.99,102.93,95.0,270.01,4.8
10.9,8599.914,190.927,2.9195,4.9425,1.1e-07,5.28e-09,119.99,102.92,95.0,270.0,4.8
12.0,8601.029,200.769,2.4381,5.1614,1.1e-07,5.41e-09,119.99,102.93,95.0,270.0,4.8
13.1,8602.13,172.558,2.9889,5.6307,1.11e-07,5.26e-09,120.0,102.93,95.0,270.0,4.8
14.2,8603.208,144.195,2.9355,4.004,1.11e-07,5.27e-09,120.0,102.93,95.0,269.99,4.8
15.2,8604.27,205.243,2.9786,4.3794,1.1e-07,5.26e-09,120.0,102.93,95.0,270.0,4.8
16.3,8605.353,173.216,2.9767,5.1302,1.11e-07,5.38e-09,120.0,102.93,95.0,270.0,4.8
17.4,8606.431,192.359,2.7825,4.9112,1.11e-07,5.33e-09,120.01,102.93,95.0,270.01,4.8
18.5,8607.522,151.539,2.9139,3.9415,1.11e-07,5.36e-09,120.01,102.93,95.0,270.0,4.8
19.5,8608.585,193.594,2.9927,4.8799,1.11e-07,5.31e-09,120.01,102.93,95.0,269.99,4.8
20.6,8609.658,181.267,2.9889,4.5671,1.11e-07,5.21e-09,120.01,102.93,95.0,269.99,4.8
21.7,8610.73,147.427,2.6061,5.1302,1.11e-07,5.23e-09,120.01,102.93,95.0,269.99,4.8
22.8,8611.812,209.81,2.8463,5.224,1.11e-07,5.28e-09,120.01,102.93,95.0,269.99,4.8
23.9,8612.938,188.23,2.9505,4.2543,1.11e-07,5.34e-09,120.0,102.92,95.0,270.0,4.8
25.0,8614.046,192.124,2.973,3.8163,1.11e-07,5.2e-09,120.0,102.93,95.0,270.01,4.8
26.1,8615.121,201.491,3.0199,5.005,1.11e-07,5.34e-09,120.0,102.92,95.0,269.99,4.8
27.1,8616.185,186.998,3.0359,4.6922,1.1e-07,5.37e-09,120.01,102.92,95.0,269.99,4.8
28.2,8617.267,189.487,2.9974,5.5368,1.11e-07,5.26e-09,119.99,102.93,95.0,269.99,4.8
29.3,8618.348,132.339,2.9721,4.1292,1.1e-07,5.23e-09,120.0,102.93,95.0,270.0,4.8
30.4,8619.423,171.944,2.7853,5.6307,1.11e-07,5.32e-09,119.99,102.93,95.0,270.0,4.4
31.4,8620.486,193.618,2.7506,4.1604,1.11e-07,5.2e-09,119.99,102.93,95.0,270.0,4.4
32.5,8621.575,153.858,2.9683,4.3168,1.11e-07,5.27e-09,119.99,102.93,95.0,269.99,4.4
33.6,8622.653,205.179,2.9749,3.9102,1.1e-07,5.4e-09,119.99,102.93,95.0,269.99,4.4
