block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,3254.001,170.355,3.1635,4.3481,1.05e-07,8e-09,120.31,100.24,102.44,269.99,2.0
1.1,3255.052,162.443,3.1353,4.6609,1.06e-07,7.78e-09,120.31,100.24,102.44,270.0,2.0
2.1,3256.106,165.83,3.1457,4.3168,1.06e-07,7.74e-09,120.31,100.24,102.44,270.01,2.0
3.1,3257.139,162.848,3.1213,4.3794,1.06e-07,7.81e-09,120.31,100.24,102.44,270.0,2.0
4.2,3258.193,129.83,3.1213,4.4733,1.06e-07,7.95e-09,120.31,100.24,102.44,269.99,2.0
5.2,3259.231,130.934,3.0819,4.2856,1.05e-07,8.07e-09,120.31,100.24,102.44,269.99,2.0
6.3,3260.281,168.445,3.1316,4.9425,1.06e-07,7.95e-09,120.31,100.24,102.44,269.99,2.0
7.3,3261.316,174.019,3.1128,4.3794,1.06e-07,7.79e-09,120.31,100.24,102.44,270.0,2.0
8.4,3262.351,161.916,3.1184,4.5984,1.06e-07,7.79e-09,120.31,100.24,102.44,270.0,2.4
9.4,3263.407,168.83,3.1241,4.2856,1.06e-07,7.92e-09,120.31,100.24,102.44,270.0,2.4
10.4,3264.443,171.744,3.1147,4.4733,1.06e-07,7.88e-09,120.3,100.25,102.44,269.99,2.4
11.5,3265.493,169.676,3.141,4.5984,1.06e-07,7.79e-09,120.3,100.25,102.44,270.0,2.4
12.5,3266.526,164.219,3.1513,4.5045,1.06e-07,7.84e-09,120.31,100.25,102.44,270.0,2.4
13.6,3267.588,129.102,3.1269,4.7548,1.06e-07,7.82e-09,120.3,100.25,102.44,270.0,2.4
14.6,3268.623,166.61,3.1428,4.4733,1.06e-07,7.74e-09,120.3,100.25,102.44,270.0,2.4
15.7,3269.659,168.678,3.1091,4.3794,1.04e-07,7.79e-09,120.29,100.25,102.44,269.99,2.4
16.7,3270.715,162.612,3.1138,4.3168,1.06e-07,7.89e-09,120.3,100.24,102.44,269.99,2.4
17.7,3271.751,169.617,3.0875,4.442,1.06e-07,7.83e-09,120.31,100.24,102.44,270.0,2.4
18.8,3272.806,168.608,3.1006,4.4733,1.06e-07,7.75e-09,120.31,100.24,102.44,270.0,2.4
19.8,3273.844,160.852,3.1128,4.3794,1.05e-07,7.85e-09,120.3,100.24,102.44,270.01,2.4
20.9,3274.906,168.545,3.1306,4.9738,1.06e-07,7.84e-09,120.3,100.24,102.44,270.01,2.4
22.0,3275.959,172.24,3.1128,4.5671,1.06e-07,7.88e-09,120.3,100.24,102.44,269.99,2.4
23.0,3277.036,170.362,3.1278,4.0979,1.06e-07,7.86e-09,120.31,100.24,102.44,270.0,2.4
24.1,3278.109,124.648,3.1091,4.442,1.06e-07,7.95e-09,120.31,100.24,102.44,269.99,2.4
25.1,3279.148,169.063,3.1034,4.3168,1.06e-07,7.83e-09,120.31,100.24,102.44,269.99,2.4
26.2,3280.197,161.62,3.1269,4.1917,1.06e-07,7.77e-09,120.31,100.25,102.44,270.01,2.4
27.2,3281.229,173.53,3.0978,4.9738,1.06e-07,7.74e-09,120.31,100.25,102.44,270.01,2.4
28.3,3282.262,165.681,3.141,4.5671,1.06e-07,7.85e-09,120.31,100.24,102.44,270.0,2.4
29.3,3283.312,173.476,3.1569,4.3794,1.06e-07,7.96e-09,120.31,100.25,102.44,270.0,2.4
30.3,3284.347,173.296,3.1325,4.3481,1.04e-07,8.07e-09,120.31,100.24,102.44,269.99,2.4
31.4,3285.402,170.155,3.141,4.5671,1.04e-07,8e-09,120.3,100.24,102.44,269.99,2.4
32.4,3286.437,165.92,3.0894,4.3481,1.06e-07,7.77e-09,120.31,100.24,102.44,270.0,2.4
33.5,3287.486,174.527,3.1222,4.442,1.06e-07,8.02e-09,120.3,100.24,102.44,270.0,2.4
34.5,3288.524,169.356,3.1306,4.4107,1.05e-07,7.92e-09,120.3,100.24,102.44,270.0,2.4
35.6,3289.556,168.552,3.0978,5.005,1.05e-07,7.9e-09,120.3,100.24,102.44,269.99,2.4
36.6,3290.627,164.936,3.0987,4.9738,1.05e-07,8.16e-09,120.3,100.24,102.44,269.99,2.4
37.7,3291.658,169.738,3.11,4.5045,1.06e-07,7.86e-09,120.31,100.24,102.44,270.0,2.4
38.7,3292.707,163.947,3.1635,4.4733,1.06e-07,7.79e-09,120.3,100.24,102.44,270.01,2.4
39.7,3293.746,169.865,3.125,4.2543,1.06e-07,7.72e-09,120.3,100.24,102.44,270.0,2.4
40.8,3294.82,168.333,3.1504,4.5984,1.06e-07,7.8e-09,120.3,100.24,102.44,269.99,2.4
41.9,3295.894,142.623,3.1063,4.6922,1.05e-07,7.95e-09,120.3,100.24,102.44,269.99,2.4
43.0,3296.954,158.215,3.1269,4.5358,1.06e-07,7.83e-09,120.31,100.24,102.44,270.0,2.4
44.0,3298.006,173.977,3.1241,4.5358,1.04e-07,7.92e-09,120.31,100.24,102.44,270.0,2.4
45.0,3299.042,175.281,3.0678,4.5045,1.06e-07,7.85e-09,120.3,100.24,102.44,270.0,2.4
46.1,3300.099,171.875,3.1353,4.3168,1.06e-07,7.76e-09,120.31,100.24,102.44,270.01,2.4
47.1,3301.134,161.875,3.1428,4.3794,1.06e-07,7.75e-09,120.31,100.24,102.44,269.99,2.4
48.2,3302.19,167.347,3.0978,4.5671,1.06e-07,7.81e-09,120.31,100.25,102.44,269.99,2.4
49.2,3303.224,172.009,3.1325,4.442,1.05e-07,7.93e-09,120.31,100.25,102.44,269.99,2.4
50.3,3304.261,165.992,3.1119,4.223,1.06e-07,8.04e-09,120.3,100.24,102.44,270.0,2.4
51.3,3305.305,157.971,3.1522,4.1917,1.06e-07,7.74e-09,120.31,100.24,102.44,270.01,2.4
52.3,3306.345,171.463,3.1419,4.442,1.05e-07,7.86e-09,120.31,100.24,102.44,270.0,2.4
53.4,3307.397,141.508,3.1091,4.4107,1.06e-07,7.96e-09,120.31,100.25,102.44,270.0,2.4
54.4,3308.434,171.084,3.1231,4.3481,1.06e-07,7.86e-09,120.31,100.24,102.44,269.99,2.4
55.5,3309.482,160.516,3.1363,4.4733,1.06e-07,7.82e-09,120.3,100.24,102.44,269.99,2.4
56.5,3310.515,167.313,3.1072,4.1604,1.05e-07,7.77e-09,120.31,100.25,102.44,270.0,2.4
57.5,3311.546,148.71,3.0931,4.3794,1.06e-07,7.8e-09,120.31,100.24,102.44,270.0,2.4
58.6,3312.606,165.94,3.1241,4.4107,1.06e-07,7.84e-09,120.31,100.25,102.44,270.0,2.4
59.6,3313.646,172.159,3.0612,4.8486,1.05e-07,7.78e-09,120.3,100.24,102.44,269.99,2.4
