block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2061.453,194.272,3.1701,4.8173,1.06e-07,7.19e-09,129.94,100.37,101.64,269.99,4.4
1.1,2062.509,211.407,3.2189,5.005,1.06e-07,7.29e-09,129.94,100.37,101.64,269.99,4.4
2.2,2063.588,194.537,3.4,4.8799,1.06e-07,7.29e-09,129.93,100.37,101.65,269.99,4.4
3.3,2064.674,197.001,3.171,4.6922,1.06e-07,7.22e-09,129.93,100.37,101.65,270.0,4.4
4.3,2065.749,218.385,3.1588,4.5358,1.06e-07,7.32e-09,129.93,100.37,101.65,269.99,4.4
5.4,2066.828,208.723,3.1963,4.7235,1.06e-07,7.16e-09,129.92,100.37,101.65,270.0,4.4
6.6,2067.966,208.211,3.1916,4.7235,1.06e-07,7.18e-09,129.93,100.37,101.64,270.0,4.4
7.7,2069.077,196.839,3.1288,4.7548,1.05e-07,7.22e-09,129.92,100.37,101.65,270.0,4.0
8.7,2070.134,223.296,3.2179,4.8799,1.06e-07,7.23e-09,129.92,100.37,101.64,270.0,4.0
9.8,2071.209,214.498,3.1372,4.5671,1.06e-07,7.14e-09,129.91,100.36,101.65,269.99,4.0
10.9,2072.283,197.848,3.2724,5.0676,1.06e-07,7.23e-09,129.91,100.37,101.65,270.0,4.0
12.0,2073.367,212.063,3.3953,4.6922,1.05e-07,7.28e-09,129.92,100.36,101.65,269.99,4.0
13.0,2074.427,224.862,3.2733,4.7548,1.05e-07,7.19e-09,129.91,100.37,101.65,269.99,4.0
14.1,2075.505,212.956,3.2245,4.7235,1.06e-07,7.1e-09,129.91,100.37,101.65,270.01,4.0
15.2,2076.586,211.704,3.2038,4.8486,1.05e-07,7.12e-09,129.91,100.37,101.65,270.01,4.0
16.3,2077.663,184.171,3.0865,4.7235,1.05e-07,7.14e-09,129.91,100.37,101.65,269.99,4.0
17.3,2078.732,183.977,3.1269,4.6922,1.05e-07,7.14e-09,129.91,100.37,101.65,269.99,4.0
18.4,2079.822,219.809,3.2151,4.9112,1.05e-07,7.3e-09,129.91,100.37,101.65,270.0,4.0
19.5,2080.958,221.999,3.2132,4.6922,1.05e-07,7.28e-09,129.91,100.37,101.64,270.0,4.0
20.7,2082.08,200.237,3.263,4.8799,1.05e-07,7.24e-09,129.91,100.37,101.64,269.99,4.0
21.8,2083.167,179.273,3.2264,4.8486,1.05e-07,7.24e-09,129.91,100.37,101.65,269.99,4.0
22.8,2084.23,235.752,3.2846,5.5681,1.05e-07,7.27e-09,129.92,100.37,101.64,270.01,4.0
23.9,2085.309,204.667,2.8538,4.7235,1.05e-07,7.21e-09,129.92,100.37,101.65,270.0,4.0
25.0,2086.392,187.472,3.0368,4.7548,1.05e-07,7.13e-09,129.92,100.37,101.64,270.0,4.0
26.1,2087.478,221.141,3.3033,3.9727,1.05e-07,7.24e-09,129.92,100.37,101.64,269.99,4.0
27.1,2088.558,212.774,3.0199,4.9112,1.05e-07,7.19e-09,129.93,100.37,101.65,270.0,4.0
28.2,2089.616,222.134,3.2189,4.8799,1.05e-07,7.3e-09,129.93,100.37,101.65,270.0,4.0
29.3,2090.691,213.686,3.1748,4.7861,1.05e-07,7.21e-09,129.93,100.37,101.64,270.0,4.0
30.4,2091.764,196.606,3.0546,4.7235,1.05e-07,7.13e-09,129.94,100.37,101.65,269.99,4.0
31.4,2092.825,215.564,3.1926,4.6609,1.05e-07,7.21e-09,129.94,100.37,101.65,269.99,4.0
32.5,2093.958,196.747,3.079,4.6297,1.05e-07,7.15e-09,129.95,100.36,101.64,270.0,4.0
33.7,2095.088,214.845,3.1306,4.9425,1.05e-07,7.15e-09,129.95,100.37,101.65,270.0,4.0
34.8,2096.168,187.819,3.2639,4.6297,1.05e-07,7.15e-09,129.95,100.37,101.65,270.01,4.0
35.8,2097.232,216.931,3.1832,4.9425,1.05e-07,7.32e-09,129.96,100.37,101.65,270.0,4.0
36.9,2098.311,208.08,3.217,4.7548,1.05e-07,7.23e-09,129.97,100.37,101.65,269.99,4.0
38.0,2099.392,217.973,3.1513,4.4107,1.05e-07,7.14e-09,129.98,100.37,101.65,269.99,4.0
39.1,2100.47,214.589,3.2236,4.6922,1.05e-07,7.14e-09,129.99,100.37,101.65,270.0,4.0
40.2,2101.56,214.93,3.0584,4.5358,1.05e-07,7.13e-09,129.99,100.37,101.65,270.01,4.0
41.2,2102.624,186.634,3.492,4.7235,1.05e-07,7.08e-09,129.99,100.37,101.65,270.01,4.0
42.3,2103.7,203.839,3.3052,4.7235,1.05e-07,7.14e-09,130.0,100.37,101.65,269.99,4.0
43.4,2104.783,205.202,3.2198,4.8486,1.05e-07,7.25e-09,130.01,100.37,101.64,269.99,4.0
44.5,2105.875,197.857,3.2508,4.7548,1.05e-07,7.24e-09,130.0,100.37,101.64,269.99,4.0
