block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,9375.219,139.884,2.8332,4.6922,1.08e-07,1.21e-08,130.01,97.01,95.0,270.01,6.0
1.1,9376.283,155.778,2.9101,4.5045,1.08e-07,1.22e-08,130.01,97.01,95.0,270.0,6.0
2.2,9377.354,153.065,2.683,5.1302,1.08e-07,1.23e-08,130.0,97.01,95.0,270.0,6.0
3.3,9378.435,128.013,2.9167,4.8173,1.08e-07,1.23e-08,130.01,97.01,95.0,270.0,6.0
4.3,9379.518,148.803,3.2592,4.0979,1.08e-07,1.23e-08,130.0,97.01,95.0,269.99,6.0
5.4,9380.577,157.265,2.6511,5.0989,1.08e-07,1.23e-08,130.0,97.01,95.0,269.99,6.0
6.5,9381.66,156.589,2.775,4.6297,1.08e-07,1.23e-08,130.0,97.01,95.0,269.99,6.0
7.6,9382.738,142.366,2.8181,4.6922,1.08e-07,1.22e-08,130.0,97.02,95.0,270.0,6.0
8.6,9383.793,139.79,2.7975,4.6297,1.08e-07,1.21e-08,129.99,97.02,95.0,270.0,6.0
9.7,9384.87,128.946,2.8163,4.6609,1.08e-07,1.21e-08,130.0,97.01,95.0,270.01,6.0
10.8,9385.964,161.428,2.8801,4.5984,1.08e-07,1.21e-08,129.99,97.01,95.0,270.0,6.0
11.9,9387.07,134.924,2.9064,4.6609,1.08e-07,1.21e-08,129.99,97.01,95.0,269.99,6.0
13.0,9388.164,121.543,2.7844,4.8173,1.08e-07,1.21e-08,130.0,97.01,95.0,269.99,6.0
14.1,9389.246,149.764,2.7618,4.6922,1.08e-07,1.21e-08,130.0,97.01,95.0,270.0,6.0
15.2,9390.328,152.874,2.8942,4.6297,1.08e-07,1.22e-08,130.0,97.01,95.0,270.0,6.0
16.2,9391.388,150.441,3.0237,4.6922,1.08e-07,1.22e-08,130.0,97.01,95.0,270.01,6.0
17.3,9392.472,142.123,2.7956,4.5984,1.09e-07,1.21e-08,130.0,97.01,95.0,270.01,6.0
18.4,9393.547,157.463,2.9889,4.7235,1.08e-07,1.21e-08,130.0,97.01,95.0,269.99,6.0
19.5,9394.63,145.407,2.8322,4.6609,1.08e-07,1.21e-08,130.02,97.01,95.0,269.99,5.6
20.5,9395.695,115.697,2.7496,4.5984,1.08e-07,1.2e-08,130.0,97.01,95.0,269.99,5.6
21.6,9396.788,142.418,3.0021,4.6297,1.08e-07,1.21e-08,130.0,97.01,95.0,270.0,5.6
22.7,9397.865,140.203,2.9814,4.9112,1.08e-07,1.22e-08,130.0,97.01,95.0,270.01,5.6
23.8,9398.941,153.715,2.8097,4.5671,1.08e-07,1.22e-08,130.01,97.01,95.0,270.0,5.6
24.9,9400.074,158.305,2.8257,4.8486,1.09e-07,1.22e-08,130.0,97.02,95.0,269.99,5.6
26.0,9401.183,127.451,2.7712,4.442,1.08e-07,1.22e-08,130.01,97.01,95.0,269.99,5.6
27.1,9402.26,134.143,2.7966,4.6922,1.08e-07,1.21e-08,130.0,97.01,95.0,269.99,5.6
28.2,9403.341,125.991,2.7684,4.8486,1.08e-07,1.2e-08,130.0,97.01,95.0,270.0,5.6
29.3,9404.426,153.814,2.8472,4.6609,1.08e-07,1.2e-08,130.0,97.01,95.0,270.01,5.6
30.3,9405.489,135.263,2.9364,4.5984,1.09e-07,1.21e-08,130.0,97.01,95.0,270.0,5.6
31.4,9406.567,171.043,2.897,4.5358,1.08e-07,1.24e-08,130.0,97.01,95.0,270.01,5.6
32.5,9407.642,146.69,2.8463,5.005,1.07e-07,1.22e-08,130.0,97.01,95.0,270.0,5.6
33.5,9408.722,140.162,2.881,4.5984,1.08e-07,1.22e-08,130.0,97.01,95.0,269.99,5.6
34.6,9409.794,147.697,2.7787,4.7235,1.08e-07,1.22e-08,130.0,97.01,95.0,269.99,5.6
35.7,9410.879,160.719,3.0246,4.5671,1.08e-07,1.22e-08,130.0,97.01,95.0,269.99,5.6
36.8,9411.958,152.323,2.8078,4.6922,1.08e-07,1.22e-08,130.0,97.01,95.0,270.01,5.6
37.9,9413.071,145.042,2.7468,4.8799,1.08e-07,1.23e-08,130.0,97.01,95.0,270.01,5.6
39.0,9414.19,141.246,2.9683,4.5671,1.08e-07,1.21e-08,130.0,97.01,95.0,270.01,5.6
40.1,9415.275,146.333,2.8369,4.5358,1.08e-07,1.23e-08,130.0,97.01,95.0,270.0,6.0
41.2,9416.353,161.149,3.0105,4.5045,1.08e-07,1.22e-08,130.0,97.01,95.0,269.99,6.0
42.3,9417.427,147.14,2.9908,4.5045,1.09e-07,1.21e-08,130.0,97.01,95.0,269.99,6.0
43.3,9418.492,155.819,2.9458,4.6922,1.08e-07,1.23e-08,130.0,97.01,95.0,270.0,6.0
44.4,9419.574,151.256,2.8716,4.6922,1.08e-07,1.2e-08,130.0,97.01,95.0,270.01,6.0
45.5,9420.655,157.096,2.9965,4.5358,1.08e-07,1.21e-08,130.0,97.01,95.0,270.01,6.0
46.6,9421.729,147.411,2.8454,4.5984,1.08e-07,1.22e-08,130.0,97.01,95.0,270.0,6.0
47.6,9422.789,145.241,2.836,4.7861,1.08e-07,1.23e-08,130.0,97.01,95.0,269.99,6.0
48.7,9423.868,159.299,2.9627,4.3168,1.09e-07,1.21e-08,130.0,97.01,95.0,269.99,6.0
49.8,9424.935,144.484,2.8716,5.005,1.08e-07,1.21e-08,130.0,97.01,95.0,270.0,6.0
50.9,9426.045,142.007,2.8923,4.6922,1.09e-07,1.2e-08,130.0,97.01,95.0,270.01,6.0
52.0,9427.171,136.609,2.7909,4.7235,1.08e-07,1.22e-08,130.0,97.01,95.0,270.0,6.0
53.1,9428.277,151.478,2.8097,4.8173,1.09e-07,1.2e-08,130.0,97.01,95.0,269.99,6.0
54.2,9429.351,193.802,2.9336,4.7548,1.08e-07,1.24e-08,130.0,97.01,95.0,269.99,6.0
55.2,9430.424,151.377,2.7891,4.6922,1.08e-07,1.22e-08,130.0,97.01,95.0,269.99,6.0
56.3,9431.483,143.614,2.8604,4.7235,1.08e-07,1.21e-08,130.0,97.01,95.0,269.99,6.0
57.4,9432.564,142.026,2.8388,4.6297,1.08e-07,1.21e-08,130.0,97.01,95.0,270.01,6.0
58.5,9433.644,144.159,2.866,4.8486,1.08e-07,1.23e-08,130.0,97.01,95.0,270.01,6.0
59.5,9434.725,147.158,2.8285,5.1927,1.08e-07,1.22e-08,130.0,97.01,95.0,270.01,6.0
