block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,6996.269,240.58,3.3212,4.0666,1.02e-07,1.45e-08,127.81,101.64,102.74,269.99,4.0
1.0,6997.303,241.762,3.4244,4.004,1.01e-07,1.48e-08,127.82,101.64,102.74,269.99,4.0
2.1,6998.363,245.791,3.3202,4.1292,1.02e-07,1.48e-08,127.81,101.64,102.74,269.99,4.0
3.1,6999.399,225.698,3.2508,4.1604,1.01e-07,1.46e-08,127.81,101.65,102.74,270.0,4.0
4.2,7000.457,242.476,3.4084,3.8163,1.01e-07,1.47e-08,127.82,101.65,102.74,270.0,4.0
5.2,7001.495,238.374,3.4347,3.3471,1.02e-07,1.46e-08,127.81,101.65,102.75,270.01,4.0
6.3,7002.551,243.697,3.3606,4.004,1.02e-07,1.44e-08,127.81,101.65,102.75,269.99,4.0
7.3,7003.586,240.093,3.3868,4.0979,1.02e-07,1.45e-08,127.81,101.65,102.75,269.99,4.0
8.3,7004.618,241.862,3.3474,4.1917,1.02e-07,1.45e-08,127.81,101.65,102.75,270.0,4.0
9.4,7005.673,249.316,3.2836,4.2856,1.02e-07,1.47e-08,127.81,101.65,102.74,270.01,4.0
10.4,7006.716,245.025,3.263,4.2543,1.02e-07,1.45e-08,127.81,101.64,102.74,270.0,4.0
11.5,7007.77,247.954,3.0377,4.8799,1.02e-07,1.46e-08,127.81,101.65,102.75,269.99,4.0
12.5,7008.803,240.837,3.3108,4.1292,1.02e-07,1.46e-08,127.81,101.65,102.75,270.0,4.0
13.6,7009.85,239.757,3.3136,4.3794,1.02e-07,1.45e-08,127.8,101.65,102.75,269.99,4.0
14.6,7010.881,239.996,3.3146,4.3794,1.02e-07,1.46e-08,127.8,101.64,102.75,270.0,4.0
15.6,7011.913,226.083,3.324,4.004,1.02e-07,1.46e-08,127.8,101.64,102.75,270.01,4.0
16.7,7012.97,241.992,3.4356,3.3158,1.02e-07,1.46e-08,127.8,101.64,102.74,270.0,4.0
17.7,7014.011,272.673,3.3315,4.4107,1.01e-07,1.45e-08,127.8,101.64,102.75,269.99,4.0
18.8,7015.07,238.119,3.309,4.1604,1.01e-07,1.46e-08,127.8,101.65,102.75,269.99,4.0
