block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,4661.734,236.283,3.354,4.0666,1.02e-07,1.21e-08,128.53,103.15,106.22,269.99,2.8
1.0,4662.781,242.117,3.354,4.1292,1.03e-07,1.2e-08,128.54,103.15,106.22,270.0,2.8
2.1,4663.818,237.465,3.3587,4.2543,1.03e-07,1.22e-08,128.53,103.16,106.22,270.0,2.8
3.1,4664.85,240.555,3.3371,4.223,1.03e-07,1.22e-08,128.53,103.16,106.22,270.0,2.8
4.2,4665.901,235.734,3.3606,4.1292,1.03e-07,1.2e-08,128.54,103.16,106.22,269.99,2.8
5.2,4666.933,239.902,3.3718,4.1604,1.03e-07,1.21e-08,128.54,103.16,106.22,270.0,2.8
6.3,4667.988,241.311,3.3596,4.1292,1.03e-07,1.21e-08,128.54,103.16,106.22,270.0,2.8
7.3,4669.031,239.945,3.3559,4.1604,1.03e-07,1.21e-08,128.53,103.16,106.22,269.99,2.8
8.3,4670.081,238.408,3.3521,4.1917,1.02e-07,1.21e-08,128.55,103.17,106.22,270.0,2.8
9.4,4671.135,239.862,3.3427,4.1917,1.03e-07,1.22e-08,128.54,103.17,106.22,269.99,2.8
10.5,4672.205,239.247,3.3596,4.2856,1.03e-07,1.22e-08,128.54,103.17,106.22,270.0,2.8
11.6,4673.284,242.159,3.3606,4.1917,1.03e-07,1.21e-08,128.55,103.18,106.22,270.0,2.8
12.6,4674.324,242.091,3.3728,4.223,1.02e-07,1.2e-08,128.54,103.18,106.22,270.0,2.8
13.6,4675.356,235.443,3.369,4.1292,1.03e-07,1.22e-08,128.54,103.18,106.22,269.99,2.8
14.7,4676.399,241.684,3.369,4.2543,1.03e-07,1.22e-08,128.53,103.18,106.22,270.0,2.8
15.7,4677.439,236.329,3.3596,4.3168,1.03e-07,1.22e-08,128.55,103.18,106.22,270.0,2.8
16.8,4678.498,240.193,3.3587,4.1292,1.02e-07,1.22e-08,128.53,103.17,106.22,269.99,2.8
17.8,4679.533,239.607,3.3559,4.2856,1.03e-07,1.21e-08,128.53,103.17,106.22,269.99,2.8
18.9,4680.59,227.74,3.3746,4.0666,1.03e-07,1.2e-08,128.54,103.17,106.22,270.0,3.2
19.9,4681.626,241.009,3.3887,4.0666,1.03e-07,1.2e-08,128.53,103.17,106.22,270.01,3.2
20.9,4682.663,240.348,3.3822,4.1292,1.03e-07,1.21e-08,128.53,103.16,106.22,270.0,3.2
22.0,4683.71,236.392,3.3718,4.004,1.02e-07,1.22e-08,128.53,103.16,106.22,270.0,3.2
