trial index,file index,monitor file,std file,creator,monitor time step,std time step
1,4,VENUS_data/trial_01_run_04/monitor_file,VENUS_data/trial_01_run_04/std_file,wenhan,1647666857,1647666857.0
1,5,VENUS_data/trial_01_run_05/monitor_file,VENUS_data/trial_01_run_05/std_file,harvey,1647674282,1647674282.0
1,6,VENUS_data/trial_01_run_06/monitor_file,VENUS_data/trial_01_run_06/std_file,wenhan,1647682454,1647682453.0
1,7,VENUS_data/trial_01_run_07/monitor_file,VENUS_data/trial_01_run_07/std_file,harvey,1647694560,1647694560.0
1,8,VENUS_data/trial_01_run_08/monitor_file,VENUS_data/trial_01_run_08/std_file,wenhan,1647705245,1647705245.0
1,9,VENUS_data/trial_01_run_09/monitor_file,VENUS_data/trial_01_run_09/std_file,harvey,1647714165,1647714165.0
1,10,VENUS_data/trial_01_run_10/monitor_file,VENUS_data/trial_01_run_10/std_file,wenhan,1647728131,1647728131.0
1,11,VENUS_data/trial_01_run_11/monitor_file,VENUS_data/trial_01_run_11/std_file,harvey,1647739389,1647739389.0
1,12,VENUS_data/trial_01_run_12/monitor_file,VENUS_data/trial_01_run_12/std_file,wenhan,1647751147,1647751147.0
1,13,VENUS_data/trial_01_run_13/monitor_file,VENUS_data/trial_01_run_13/std_file,harvey,1647759254,1647759254.0
1,14,VENUS_data/trial_01_run_14/monitor_file,VENUS_data/trial_01_run_14/std_file,wenhan,1647771806,1647771805.0
1,15,VENUS_data/trial_01_run_15/monitor_file,VENUS_data/trial_01_run_15/std_file,harvey,1647780261,1647780261.0
1,16,VENUS_data/trial_01_run_16/monitor_file,VENUS_data/trial_01_run_16/std_file,wenhan,1647794766,1647794766.0
1,17,VENUS_data/trial_01_run_17/monitor_file,VENUS_data/trial_01_run_17/std_file,harvey,1647804168,1647804168.0
1,18,VENUS_data/trial_01_run_18/monitor_file,VENUS_data/trial_01_run_18/std_file,wenhan,1647815774,1647815774.0
1,19,VENUS_data/trial_01_run_19/monitor_file,VENUS_data/trial_01_run_19/std_file,harvey,1647828353,1647828352.0
2,0,VENUS_data/trial_02_run_00/monitor_file,VENUS_data/trial_02_run_00/std_file,wenhan,1651286265,1651286264.0
2,1,VENUS_data/trial_02_run_01/monitor_file,VENUS_data/trial_02_run_01/std_file,harvey,1651294673,1651294672.0
2,2,VENUS_data/trial_02_run_02/monitor_file,VENUS_data/trial_02_run_02/std_file,wenhan,1651308067,1651308067.0
2,3,VENUS_data/trial_02_run_03/monitor_file,VENUS_data/trial_02_run_03/std_file,harvey,1651315788,1651315788.0
2,4,VENUS_data/trial_02_run_04/monitor_file,VENUS_data/trial_02_run_04/std_file,wenhan,1651327912,1651327912.0
2,5,VENUS_data/trial_02_run_05/monitor_file,VENUS_data/trial_02_run_05/std_file,harvey,1651333436,1651333436.0
2,6,VENUS_data/trial_02_run_06/monitor_file,VENUS_data/trial_02_run_06/std_file,wenhan,1651341673,1651341673.0
2,7,VENUS_data/trial_02_run_07/monitor_file,VENUS_data/trial_02_run_07/std_file,harvey,1651346870,1651346870.0
2,8,VENUS_data/trial_02_run_08/monitor_file,VENUS_data/trial_02_run_08/std_file,wenhan,1651353249,1651353249.0
2,9,VENUS_data/trial_02_run_09/monitor_file,VENUS_data/trial_02_run_09/std_file,harvey,1651359407,1651359407.0
2,10,VENUS_data/trial_02_run_10/monitor_file,VENUS_data/trial_02_run_10/std_file,wenhan,1651367176,1651367175.0
2,11,VENUS_data/trial_02_run_11/monitor_file,VENUS_data/trial_02_run_11/std_file,harvey,1651373437,1651373436.0
2,12,VENUS_data/trial_02_run_12/monitor_file,VENUS_data/trial_02_run_12/std_file,wenhan,1651381461,1651381461.0
2,13,VENUS_data/trial_02_run_13/monitor_file,VENUS_data/trial_02_run_13/std_file,harvey,1651388592,1651388592.0
2,14,VENUS_data/trial_02_run_14/monitor_file,VENUS_data/trial_02_run_14/std_file,wenhan,1651394934,1651394934.0
2,15,VENUS_data/trial_02_run_15/monitor_file,VENUS_data/trial_02_run_15/std_file,harvey,1651401303,1651401303.0
2,16,VENUS_data/trial_02_run_16/monitor_file,VENUS_data/trial_02_run_16/std_file,wenhan,1651409600,1651409600.0
2,17,VENUS_data/trial_02_run_17/monitor_file,VENUS_data/trial_02_run_17/std_file,harvey,1651415201,1651415201.0
