block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,3261.255,149.9,2.7891,6.0686,1.09e-07,5.77e-09,127.56,109.71,98.72,270.01,6.8
1.1,3262.325,153.115,2.7215,6.8506,1.08e-07,5.77e-09,127.56,109.71,98.72,270.0,6.8
2.1,3263.36,148.778,2.7468,6.5691,1.08e-07,5.76e-09,127.56,109.71,98.72,269.99,6.8
3.2,3264.419,154.489,2.8369,5.7871,1.08e-07,5.82e-09,127.56,109.7,98.72,269.99,6.8
4.2,3265.456,131.464,2.7862,6.1624,1.09e-07,5.84e-09,127.56,109.7,98.72,269.99,6.8
5.3,3266.511,151.614,2.7712,6.0686,1.09e-07,5.91e-09,127.56,109.7,98.72,270.0,6.8
6.3,3267.543,151.403,2.8501,5.5681,1.08e-07,5.83e-09,127.56,109.7,98.72,270.01,6.8
7.3,3268.576,148.395,2.7459,6.0686,1.09e-07,5.78e-09,127.56,109.69,98.72,270.01,6.8
8.4,3269.626,144.357,2.8022,6.0999,1.08e-07,5.79e-09,127.56,109.69,98.72,269.99,6.8
9.4,3270.658,137.115,2.8754,6.4753,1.08e-07,5.84e-09,127.56,109.69,98.72,269.99,6.8
10.5,3271.709,149.934,2.6624,5.7245,1.08e-07,5.92e-09,127.56,109.69,98.72,269.99,6.8
11.5,3272.748,150.386,2.7468,7.0383,1.08e-07,5.83e-09,127.57,109.69,98.72,269.99,6.8
12.5,3273.78,130.195,2.7853,5.9122,1.09e-07,5.79e-09,127.56,109.69,98.72,269.99,6.8
13.6,3274.826,148.938,2.8698,6.663,1.09e-07,5.77e-09,127.56,109.69,98.72,270.01,6.8
14.6,3275.862,134.674,2.7534,6.2876,1.08e-07,5.84e-09,127.56,109.69,98.72,270.01,6.8
15.7,3276.931,130.708,2.8388,5.8184,1.08e-07,5.8e-09,127.56,109.69,98.72,270.0,6.8
16.7,3277.962,129.453,2.8275,5.6932,1.08e-07,5.85e-09,127.56,109.7,98.72,269.99,6.8
17.8,3279.012,152.79,2.8369,6.3814,1.09e-07,5.9e-09,127.56,109.7,98.72,269.99,6.8
18.8,3280.05,152.779,2.7731,6.1624,1.09e-07,5.82e-09,127.56,109.7,98.72,269.99,6.8
19.8,3281.08,129.969,2.7393,6.7255,1.09e-07,5.8e-09,127.56,109.7,98.72,270.01,6.8
