block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,4798.132,157.232,2.8979,5.1302,1.09e-07,5.43e-09,130.0,107.43,105.85,269.99,4.0
1.0,4799.168,143.835,2.8407,5.4117,1.09e-07,5.51e-09,130.0,107.44,105.85,270.0,4.0
2.1,4800.212,146.308,2.896,5.8809,1.09e-07,5.6e-09,130.0,107.44,105.85,269.99,4.0
3.1,4801.247,165.289,2.9289,5.2553,1.08e-07,5.5e-09,130.0,107.43,105.85,270.01,4.0
4.2,4802.282,150.19,2.9157,5.9748,1.08e-07,5.47e-09,130.0,107.44,105.86,270.0,4.0
5.2,4803.345,138.43,2.6886,5.4117,1.09e-07,5.5e-09,130.0,107.43,105.85,269.99,4.0
6.3,4804.416,139.382,2.866,5.5994,1.09e-07,5.45e-09,130.0,107.43,105.85,269.99,4.0
7.3,4805.472,161.502,2.7027,5.6307,1.09e-07,5.53e-09,130.0,107.43,105.85,269.99,4.0
8.4,4806.545,159.879,2.8623,5.5681,1.08e-07,5.67e-09,130.0,107.44,105.85,270.0,4.0
9.4,4807.579,145.055,2.9308,5.2553,1.09e-07,5.54e-09,130.0,107.44,105.85,270.01,4.0
10.5,4808.626,142.631,2.8923,5.4117,1.09e-07,5.49e-09,130.0,107.44,105.85,270.0,4.0
11.5,4809.662,127.327,2.9392,5.8809,1.09e-07,5.49e-09,130.0,107.44,105.85,270.0,4.0
12.6,4810.717,160.203,2.9505,5.2553,1.09e-07,5.46e-09,130.0,107.44,105.85,269.99,4.0
13.6,4811.753,134.634,2.9383,5.1302,1.09e-07,5.56e-09,130.0,107.44,105.85,269.99,4.0
14.7,4812.804,162.309,2.6089,6.3501,1.09e-07,5.54e-09,130.0,107.44,105.85,269.99,4.0
15.7,4813.841,134.345,2.7637,5.6307,1.09e-07,5.55e-09,130.0,107.44,105.85,270.01,4.0
16.7,4814.877,152.774,2.7571,5.1614,1.09e-07,5.58e-09,130.0,107.44,105.85,270.01,4.0
17.8,4815.939,149.906,2.7356,5.5994,1.09e-07,5.51e-09,130.0,107.43,105.85,270.0,4.0
18.8,4816.975,139.422,2.943,5.1927,1.09e-07,5.44e-09,130.0,107.43,105.85,269.99,4.0
19.9,4818.028,161.254,2.7693,4.9738,1.09e-07,5.48e-09,130.0,107.43,105.85,269.99,4.0
20.9,4819.064,125.988,2.8425,5.7558,1.09e-07,5.54e-09,130.0,107.44,105.86,270.0,4.0
22.0,4820.124,164.072,2.9082,5.224,1.09e-07,5.64e-09,130.0,107.44,105.85,270.01,4.0
23.0,4821.161,133.071,2.9195,5.1927,1.09e-07,5.52e-09,130.0,107.43,105.85,270.01,4.0
24.1,4822.214,141.275,2.6567,5.4117,1.09e-07,5.45e-09,130.0,107.44,105.85,270.01,4.0
25.1,4823.255,147.471,2.6661,5.5994,1.09e-07,5.43e-09,130.0,107.44,105.85,269.99,4.0
26.2,4824.308,130.097,2.7008,5.8496,1.09e-07,5.52e-09,130.0,107.44,105.85,269.99,4.0
27.2,4825.352,135.146,2.9411,5.3179,1.09e-07,5.59e-09,130.0,107.44,105.85,269.99,4.0
28.3,4826.427,145.475,2.8397,5.5055,1.09e-07,5.53e-09,130.0,107.44,105.85,270.01,4.0
29.3,4827.481,151.642,2.8416,5.443,1.09e-07,5.59e-09,130.0,107.43,105.85,270.01,4.0
30.4,4828.559,135.465,2.8322,5.5368,1.09e-07,5.63e-09,130.0,107.43,105.85,270.0,4.0
31.5,4829.614,136.019,2.7806,5.6307,1.09e-07,5.45e-09,130.0,107.43,105.85,270.0,4.0
32.5,4830.65,136.452,2.9702,5.2866,1.09e-07,5.58e-09,130.0,107.44,105.85,269.99,4.0
33.6,4831.704,165.349,2.8472,5.7245,1.09e-07,5.6e-09,130.0,107.44,105.85,269.99,4.0
34.6,4832.736,129.196,2.7243,5.8184,1.09e-07,5.65e-09,130.0,107.44,105.85,270.0,4.0
35.6,4833.775,162.493,2.6652,5.7558,1.09e-07,5.62e-09,130.0,107.44,105.85,270.0,4.0
36.7,4834.829,146.88,2.8895,5.3179,1.09e-07,5.47e-09,130.0,107.44,105.85,270.0,4.0
37.7,4835.869,147.627,2.7806,5.224,1.09e-07,5.5e-09,130.0,107.44,105.85,270.0,4.0
