block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,4620.233,216.304,3.0884,2.1584,9.05e-08,5.72e-09,128.6,98.02,102.2,270.0,4.8
1.2,4621.352,214.927,3.0959,2.1897,9.05e-08,5.76e-09,128.6,98.01,102.19,270.0,4.8
2.3,4622.482,196.203,3.1391,2.1897,8.85e-08,5.71e-09,128.6,98.01,102.2,270.01,4.8
3.4,4623.599,219.174,3.0978,2.1897,8.94e-08,5.75e-09,128.6,98.01,102.2,269.99,4.8
4.6,4624.734,214.221,3.1316,2.1897,9.01e-08,5.82e-09,128.6,98.01,102.2,270.0,4.8
5.7,4625.842,221.215,3.1231,2.1897,8.97e-08,5.87e-09,128.6,98.0,102.2,269.99,4.8
6.8,4626.955,226.683,3.1194,2.221,8.98e-08,5.84e-09,128.59,98.0,102.19,270.0,4.8
7.9,4628.068,219.25,3.0894,2.221,8.96e-08,5.91e-09,128.6,97.99,102.19,270.01,4.8
9.0,4629.193,219.239,3.1091,2.1584,8.91e-08,5.83e-09,128.59,97.99,102.2,270.0,4.8
10.2,4630.336,215.543,3.1213,2.1897,9e-08,5.7e-09,128.59,97.99,102.2,270.0,4.8
11.3,4631.469,217.15,3.1147,2.1584,8.88e-08,5.74e-09,128.59,97.98,102.2,270.0,4.4
12.4,4632.584,216.392,3.1147,2.1271,8.97e-08,5.71e-09,128.6,97.98,102.2,269.99,4.4
13.5,4633.723,216.0,3.0922,2.1584,8.91e-08,5.72e-09,128.6,97.98,102.2,270.0,4.4
14.7,4634.848,218.304,3.1306,2.1584,8.98e-08,5.9e-09,128.6,97.98,102.2,270.0,4.4
15.8,4635.972,218.933,3.1138,2.1584,8.71e-08,5.78e-09,128.6,97.98,102.2,270.0,4.4
16.9,4637.088,215.436,3.1119,2.1271,9.06e-08,5.83e-09,128.6,97.98,102.2,269.99,4.4
18.0,4638.224,220.33,3.0931,2.1271,9.03e-08,5.9e-09,128.6,97.98,102.2,269.99,4.4
19.2,4639.346,217.409,3.1109,2.1584,9.03e-08,5.78e-09,128.6,97.99,102.2,269.99,4.4
20.3,4640.476,214.237,3.1184,2.1897,8.98e-08,5.83e-09,128.6,97.99,102.2,270.0,4.8
21.4,4641.584,215.634,3.1288,2.1271,8.96e-08,5.74e-09,128.6,97.99,102.19,269.99,4.8
22.5,4642.726,218.254,3.0997,2.2523,9.06e-08,5.71e-09,128.6,98.0,102.2,270.0,4.8
23.7,4643.847,217.672,3.1025,2.1584,9.03e-08,5.79e-09,128.6,97.99,102.2,269.99,4.8
24.8,4644.976,219.348,3.0819,2.1271,9.03e-08,5.73e-09,128.6,97.99,102.2,270.0,4.8
25.9,4646.09,218.388,3.1072,2.1897,9.04e-08,5.73e-09,128.59,97.99,102.2,270.0,4.8
27.0,4647.226,215.697,3.095,2.1584,8.86e-08,5.83e-09,128.6,97.99,102.2,270.0,4.8
28.2,4648.347,212.595,3.1138,2.1584,8.95e-08,5.88e-09,128.6,97.99,102.2,270.01,4.8
29.3,4649.484,216.916,3.1016,2.1584,8.9e-08,5.89e-09,128.6,97.98,102.19,270.01,4.8
30.4,4650.589,212.847,3.1213,2.221,9e-08,5.83e-09,128.59,97.98,102.2,270.0,4.8
31.6,4651.734,220.857,3.0847,2.1584,9.01e-08,5.74e-09,128.6,97.98,102.2,269.99,4.8
32.7,4652.854,220.138,3.1091,2.1584,8.98e-08,5.71e-09,128.59,97.98,102.2,269.99,4.8
33.8,4653.977,221.093,3.0734,2.1897,8.92e-08,5.74e-09,128.6,97.98,102.2,270.0,4.8
34.9,4655.089,218.271,3.1109,2.1897,8.85e-08,5.71e-09,128.6,97.99,102.2,270.0,4.8
36.0,4656.202,219.196,2.6511,2.1584,8.87e-08,5.77e-09,128.6,97.98,102.2,270.01,4.8
37.1,4657.326,218.673,3.0922,2.1584,8.91e-08,5.88e-09,128.6,97.99,102.2,270.0,4.8
38.3,4658.448,218.016,3.11,2.1584,8.96e-08,5.77e-09,128.6,97.99,102.19,269.99,4.8
39.4,4659.565,213.876,3.1241,2.1897,9.04e-08,5.88e-09,128.6,97.99,102.2,269.99,4.8
40.5,4660.697,216.507,3.0959,2.1584,9.02e-08,5.85e-09,128.6,97.99,102.19,269.99,4.8
41.7,4661.832,218.135,3.1016,2.1584,8.93e-08,5.72e-09,128.6,97.99,102.19,270.01,4.8
42.8,4662.951,219.646,3.1391,2.1584,9.02e-08,5.83e-09,128.6,97.99,102.2,270.0,4.8
43.9,4664.069,221.447,3.1231,2.1584,8.95e-08,5.79e-09,128.6,97.99,102.2,270.0,4.8
45.0,4665.197,218.305,3.1081,2.221,8.91e-08,5.71e-09,128.6,97.99,102.19,270.0,4.8
46.2,4666.329,201.913,3.0959,2.1897,9.07e-08,5.8e-09,128.6,97.99,102.2,270.0,4.8
47.3,4667.452,219.066,3.1119,2.1584,9.02e-08,5.72e-09,128.6,97.98,102.19,269.99,4.8
48.4,4668.576,215.565,3.1166,2.1584,9.05e-08,5.8e-09,128.6,97.98,102.2,270.0,4.8
49.5,4669.699,213.911,3.0772,2.1897,9.02e-08,5.88e-09,128.6,97.99,102.19,269.99,4.8
50.7,4670.835,221.298,3.1156,2.1897,8.92e-08,5.82e-09,128.6,97.98,102.2,270.0,4.8
51.8,4671.954,220.769,3.1306,2.221,8.93e-08,5.87e-09,128.6,97.99,102.2,270.0,4.8
52.9,4673.072,210.349,3.0884,2.1897,8.99e-08,5.89e-09,128.59,97.99,102.2,270.0,4.8
54.0,4674.183,218.427,3.1025,2.1897,8.97e-08,5.79e-09,128.59,97.99,102.19,270.0,4.8
55.1,4675.306,220.364,3.079,2.1897,8.98e-08,5.71e-09,128.59,97.99,102.2,269.99,4.8
56.3,4676.452,218.385,3.1184,2.1584,8.99e-08,5.71e-09,128.6,97.99,102.19,269.99,4.8
57.4,4677.564,214.509,3.1184,2.221,8.89e-08,5.69e-09,128.6,97.99,102.2,269.99,4.8
58.5,4678.692,218.499,3.11,2.221,9.08e-08,5.81e-09,128.6,97.99,102.2,270.0,4.8
59.7,4679.831,217.596,3.1241,2.221,9.03e-08,5.88e-09,128.6,97.99,102.2,270.0,4.8
