block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,1315.351,186.993,2.591,3.1281,9.97e-08,5.75e-09,129.16,102.94,96.65,270.0,10.0
1.2,1316.475,190.65,2.5986,3.0969,9.98e-08,5.67e-09,129.16,102.94,96.65,270.0,10.0
2.3,1317.599,192.677,2.6117,3.1594,9.98e-08,5.82e-09,129.16,102.94,96.65,269.99,10.0
3.5,1318.741,180.191,2.5666,3.3158,9.91e-08,5.84e-09,129.16,102.94,96.65,269.99,10.0
4.6,1319.868,182.847,2.6567,3.1907,9.96e-08,5.85e-09,129.16,102.94,96.64,270.0,10.0
5.7,1320.978,189.704,2.5723,3.5035,9.97e-08,6.05e-09,129.16,102.93,96.65,270.01,10.0
6.8,1322.095,181.84,2.5732,2.9717,9.9e-08,5.81e-09,129.16,102.93,96.65,270.0,10.0
7.9,1323.229,188.669,2.5779,3.003,9.97e-08,5.74e-09,129.16,102.93,96.64,270.0,10.0
9.1,1324.346,179.406,2.6323,3.2533,9.98e-08,5.73e-09,129.15,102.93,96.65,269.99,10.0
10.2,1325.476,183.028,2.5901,3.0969,9.98e-08,5.69e-09,129.15,102.93,96.64,269.99,10.0
11.3,1326.599,185.351,2.5601,3.5035,9.88e-08,5.68e-09,129.15,102.92,96.65,270.0,10.0
12.4,1327.739,181.04,2.6239,3.1281,1e-07,5.76e-09,129.15,102.92,96.65,270.01,10.0
13.6,1328.867,179.081,2.6164,3.1281,9.95e-08,5.82e-09,129.14,102.92,96.65,270.01,10.0
14.7,1329.988,181.207,2.5939,3.0343,9.95e-08,5.74e-09,129.14,102.93,96.65,270.01,10.0
15.8,1331.134,198.436,2.592,3.0656,9.99e-08,5.84e-09,129.14,102.93,96.65,270.0,10.0
17.0,1332.252,197.198,2.5591,3.0343,9.96e-08,5.78e-09,129.14,102.92,96.65,269.99,10.0
18.1,1333.369,189.852,2.6192,3.1594,9.99e-08,5.74e-09,129.14,102.93,96.65,269.99,10.0
19.2,1334.491,189.952,2.5742,2.9405,9.96e-08,5.8e-09,129.14,102.93,96.64,270.0,10.0
20.3,1335.627,189.547,2.5516,2.8153,9.95e-08,5.71e-09,129.14,102.93,96.65,270.01,10.0
21.4,1336.737,189.684,2.5685,3.003,9.99e-08,5.67e-09,129.14,102.93,96.65,270.01,10.0
22.6,1337.85,185.531,2.5563,3.0969,9.95e-08,5.75e-09,129.15,102.93,96.65,269.99,10.0
23.7,1338.964,177.281,2.5582,2.8153,9.96e-08,5.68e-09,129.15,102.92,96.65,269.99,10.0
24.8,1340.079,187.146,2.6023,2.9405,9.95e-08,5.75e-09,129.14,102.93,96.65,270.0,10.0
25.9,1341.201,188.371,2.5676,2.7841,9.96e-08,5.84e-09,129.15,102.93,96.65,270.01,10.4
27.0,1342.337,186.464,2.531,3.9415,9.95e-08,5.79e-09,129.15,102.92,96.65,270.01,10.4
28.2,1343.465,192.26,2.5582,2.5338,9.94e-08,5.83e-09,129.15,102.93,96.65,269.99,10.4
29.3,1344.581,183.003,2.5732,2.8466,9.99e-08,5.84e-09,129.16,102.92,96.65,269.99,10.4
30.4,1345.723,172.862,2.5882,2.8466,9.99e-08,5.77e-09,129.15,102.92,96.64,269.99,10.4
