block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2449.367,195.221,3.1128,3.7538,9.36e-08,5.92e-09,123.43,98.77,98.72,269.99,4.8
1.2,2450.497,196.713,3.0678,3.6287,9.23e-08,5.85e-09,123.42,98.77,98.73,269.99,4.8
2.3,2451.639,197.664,3.0912,3.7225,9.12e-08,5.9e-09,123.41,98.77,98.73,270.0,4.8
3.4,2452.749,180.28,3.0987,3.7225,9.19e-08,6.01e-09,123.42,98.77,98.71,270.0,4.8
4.5,2453.862,200.3,3.0762,3.6599,9.3e-08,5.96e-09,123.42,98.77,98.71,270.01,4.8
5.7,2454.981,197.47,3.1044,3.6599,9.38e-08,5.95e-09,123.42,98.77,98.72,270.01,4.8
6.8,2456.102,198.386,3.0743,3.7225,9.09e-08,6e-09,123.41,98.78,98.72,269.99,4.8
7.9,2457.249,196.613,3.1297,4.8799,9.37e-08,5.87e-09,123.41,98.79,98.72,269.99,4.8
9.0,2458.362,197.137,2.8472,3.6599,9.39e-08,5.76e-09,123.41,98.79,98.72,270.0,4.8
10.2,2459.491,197.361,3.0668,3.7225,9.12e-08,5.81e-09,123.41,98.79,98.72,270.0,4.8
11.3,2460.63,151.969,3.0781,4.9738,9.38e-08,5.78e-09,123.42,98.79,98.72,270.0,5.2
12.4,2461.75,156.927,3.095,3.7851,9.34e-08,5.92e-09,123.41,98.79,98.72,270.0,5.2
13.6,2462.876,200.463,3.0959,3.3784,9.31e-08,5.98e-09,123.41,98.79,98.72,270.0,5.2
14.7,2463.998,205.843,2.912,5.005,9.25e-08,5.9e-09,123.41,98.79,98.71,270.01,5.2
15.8,2465.142,194.519,3.0753,3.7225,9.39e-08,5.98e-09,123.42,98.78,98.72,270.0,5.2
16.9,2466.26,197.648,3.0809,3.7225,9.27e-08,5.97e-09,123.42,98.78,98.72,269.99,5.2
18.1,2467.376,202.005,3.1166,3.7225,9.21e-08,5.78e-09,123.42,98.78,98.72,269.99,5.2
19.2,2468.5,198.558,3.1316,3.2846,8.93e-08,5.96e-09,123.42,98.78,98.72,270.0,5.2
20.3,2469.635,198.816,3.0959,3.6287,8.9e-08,5.86e-09,123.42,98.77,98.71,270.01,5.2
21.4,2470.758,198.593,3.0884,3.5974,9.37e-08,5.81e-09,123.42,98.78,98.72,270.0,4.8
22.6,2471.881,197.829,2.8576,3.6287,9.13e-08,5.76e-09,123.42,98.78,98.71,270.0,4.8
23.7,2473.022,199.493,3.0828,3.7538,8.78e-08,5.83e-09,123.42,98.78,98.72,269.99,4.8
24.8,2474.148,197.049,3.0687,3.6912,9.39e-08,5.84e-09,123.42,98.78,98.72,269.99,4.8
25.9,2475.267,205.475,3.0697,3.6599,9.42e-08,5.82e-09,123.42,98.78,98.72,270.0,4.8
