block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,662.978,138.743,2.7834,6.1312,1.09e-07,7.85e-09,128.34,106.91,101.94,270.01,5.2
1.1,664.049,148.145,2.8576,6.3189,1.09e-07,7.84e-09,128.34,106.91,101.95,270.0,5.2
2.1,665.118,150.775,2.8989,4.8486,1.08e-07,7.94e-09,128.35,106.91,101.95,269.99,5.2
3.2,666.15,144.494,2.7525,6.3501,1.09e-07,7.96e-09,128.34,106.9,101.95,269.99,5.2
4.2,667.181,151.488,2.7628,6.0999,1.09e-07,8e-09,128.35,106.9,101.96,269.99,5.2
5.3,668.242,137.864,2.8829,6.1937,1.09e-07,8e-09,128.35,106.9,101.96,270.0,5.2
6.3,669.275,138.751,2.7487,6.3501,1.09e-07,7.85e-09,128.35,106.9,101.95,270.0,5.2
7.4,670.328,140.894,2.9392,6.3814,1.08e-07,8.08e-09,128.35,106.89,101.95,270.0,5.2
8.4,671.362,214.704,2.9692,5.9122,1.08e-07,8.1e-09,128.35,106.89,101.95,270.0,5.2
9.4,672.399,153.856,2.7675,6.3501,1.09e-07,7.9e-09,128.36,106.89,101.95,270.0,5.2
10.5,673.457,139.812,2.7731,6.3814,1.09e-07,7.95e-09,128.36,106.89,101.95,269.99,5.2
11.5,674.488,155.969,2.9655,5.9748,1.08e-07,8.08e-09,128.36,106.89,101.95,270.0,5.2
12.6,675.543,139.659,2.7571,6.3189,1.09e-07,7.86e-09,128.36,106.89,101.95,270.0,5.2
13.6,676.582,200.885,2.7515,4.1604,1.08e-07,8.03e-09,128.36,106.88,101.95,270.0,5.2
14.7,677.633,149.405,2.7337,6.3814,1.09e-07,7.92e-09,128.36,106.88,101.95,270.0,5.2
15.7,678.671,155.924,2.7093,6.2876,1.08e-07,7.99e-09,128.36,106.88,101.95,270.0,5.2
16.7,679.702,132.306,2.957,5.7558,1.09e-07,7.93e-09,128.36,106.89,101.95,269.99,5.2
17.8,680.745,150.679,2.8632,6.0999,1.09e-07,7.86e-09,128.36,106.89,101.95,270.0,5.2
18.8,681.78,145.105,2.7318,6.3501,1.08e-07,7.88e-09,128.35,106.89,101.95,269.99,5.2
19.9,682.836,151.304,2.8519,6.3501,1.09e-07,7.87e-09,128.35,106.89,101.95,270.0,5.2
20.9,683.881,142.397,2.8932,6.3501,1.09e-07,7.85e-09,128.36,106.9,101.95,270.0,5.2
22.0,684.947,155.758,2.7665,6.4127,1.09e-07,7.99e-09,128.35,106.89,101.95,270.0,5.2
23.0,686.024,142.858,2.7553,6.3189,1.09e-07,8e-09,128.35,106.89,101.95,270.0,5.2
24.1,687.084,211.298,2.7806,6.0686,1.09e-07,8.2e-09,128.35,106.89,101.95,269.99,5.2
25.2,688.143,143.04,2.8482,6.4127,1.08e-07,7.89e-09,128.35,106.89,101.95,270.0,5.2
26.2,689.183,142.783,2.7712,6.3189,1.08e-07,7.99e-09,128.35,106.89,101.95,270.0,5.2
27.3,690.235,176.397,2.7496,6.3501,1.08e-07,7.93e-09,128.35,106.88,101.95,270.01,5.2
28.3,691.272,179.351,3.018,5.2553,1.08e-07,8.16e-09,128.35,106.89,101.95,269.99,5.2
29.3,692.326,195.697,2.7571,5.4743,1.08e-07,8.07e-09,128.35,106.89,101.95,269.99,5.2
30.4,693.359,153.745,2.744,6.2563,1.08e-07,8.03e-09,128.35,106.89,101.95,269.99,5.2
31.4,694.397,147.018,2.7806,6.1624,1.08e-07,7.91e-09,128.36,106.89,101.95,270.01,5.2
32.5,695.448,139.467,2.7487,6.4127,1.08e-07,8.08e-09,128.35,106.89,101.95,270.01,5.2
33.5,696.48,155.994,2.8022,6.444,1.08e-07,8.12e-09,128.35,106.89,101.95,270.01,5.2
34.6,697.53,141.658,2.7374,6.3814,1.08e-07,7.92e-09,128.36,106.89,101.96,269.99,5.2
35.6,698.572,144.611,2.759,6.3501,1.08e-07,8.05e-09,128.36,106.89,101.95,269.99,5.2
36.6,699.62,139.69,2.8745,5.443,1.09e-07,7.95e-09,128.36,106.89,101.95,269.99,5.2
37.7,700.652,146.726,2.8332,6.3189,1.08e-07,7.88e-09,128.36,106.89,101.95,270.0,5.2
38.7,701.687,190.235,2.7834,6.0999,1.08e-07,8.11e-09,128.35,106.89,101.96,270.01,5.2
39.8,702.734,211.151,3.0471,4.8799,1.09e-07,7.92e-09,128.35,106.89,101.95,270.01,5.2
40.8,703.766,138.945,2.8594,6.3814,1.08e-07,8.04e-09,128.35,106.89,101.95,270.01,5.2
41.8,704.797,145.525,2.7431,6.4127,1.09e-07,7.95e-09,128.35,106.89,101.95,270.0,5.2
42.9,705.859,145.285,2.9692,6.4753,1.08e-07,8.19e-09,128.35,106.89,101.95,270.01,5.2
43.9,706.892,158.91,3.1785,6.1312,1.08e-07,8e-09,128.35,106.89,101.95,270.01,5.2
45.0,707.967,157.799,2.7459,6.3189,1.08e-07,8.09e-09,128.35,106.89,101.95,269.99,5.2
46.1,709.041,138.474,2.7675,5.9122,1.09e-07,7.86e-09,128.36,106.89,101.95,269.99,5.2
