block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,2607.28,201.039,3.2245,2.6589,8.79e-08,5.69e-09,126.7,99.08,102.87,270.0,4.0
1.2,2608.393,202.309,3.1654,2.5964,8.8e-08,5.77e-09,126.69,99.08,102.87,269.99,4.0
2.3,2609.513,205.033,3.1973,2.5025,8.76e-08,5.86e-09,126.7,99.07,102.86,269.99,4.0
3.4,2610.654,199.814,3.1945,2.5964,8.9e-08,5.79e-09,126.72,99.07,102.87,270.0,4.0
4.6,2611.77,199.512,3.187,2.5651,8.86e-08,5.86e-09,126.71,99.08,102.86,269.99,4.0
5.7,2612.894,203.133,3.1879,2.6589,8.92e-08,5.79e-09,126.71,99.08,102.87,270.0,4.4
6.8,2614.008,203.058,3.1748,2.5651,8.84e-08,5.7e-09,126.71,99.09,102.86,270.0,4.4
7.9,2615.152,199.402,3.1916,2.5964,8.81e-08,5.68e-09,126.71,99.09,102.87,270.0,4.4
9.1,2616.28,197.022,3.202,2.6589,8.84e-08,5.7e-09,126.72,99.09,102.86,270.0,4.4
10.2,2617.405,205.298,3.202,2.6902,8.79e-08,5.7e-09,126.72,99.09,102.87,270.0,4.4
11.3,2618.554,202.427,3.1898,2.5964,8.8e-08,5.77e-09,126.72,99.09,102.86,269.99,4.4
12.5,2619.671,203.924,3.187,2.5025,8.9e-08,5.87e-09,126.71,99.09,102.86,270.0,4.4
13.6,2620.779,201.969,3.1823,2.5651,8.9e-08,5.76e-09,126.72,99.09,102.86,270.0,4.4
14.7,2621.898,203.566,3.2085,2.5651,8.75e-08,5.87e-09,126.71,99.09,102.87,269.99,4.4
15.8,2623.015,200.562,3.1935,2.6276,8.84e-08,5.81e-09,126.72,99.09,102.86,270.0,4.0
16.9,2624.153,208.884,3.2104,2.5964,8.9e-08,5.71e-09,126.71,99.09,102.86,269.99,4.0
