block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,477.716,199.937,2.9814,4.004,9.51e-08,5.72e-09,121.59,107.37,96.35,270.0,8.8
1.3,478.863,200.895,2.8576,4.5358,9.57e-08,5.8e-09,121.58,107.36,96.35,269.99,8.8
2.4,479.972,176.804,2.8698,4.1917,9.54e-08,5.86e-09,121.59,107.38,96.34,270.0,8.8
3.5,481.092,207.706,2.9664,4.1604,9.55e-08,5.86e-09,121.59,107.37,96.34,270.0,8.8
4.6,482.197,188.113,2.8979,4.1917,9.53e-08,5.73e-09,121.59,107.38,96.34,270.0,9.2
5.7,483.319,209.731,2.8867,4.0353,9.56e-08,5.84e-09,121.59,107.38,96.34,270.0,9.2
6.9,484.455,207.765,2.866,3.9415,9.56e-08,5.78e-09,121.59,107.38,96.34,270.0,9.2
8.0,485.568,198.874,2.835,4.6922,9.55e-08,5.7e-09,121.59,107.38,96.34,269.99,9.2
9.1,486.688,189.127,2.8566,4.3481,9.56e-08,5.8e-09,121.59,107.38,96.34,270.0,9.2
10.2,487.817,200.933,2.8547,4.1292,9.64e-08,5.71e-09,121.59,107.39,96.34,270.01,9.2
11.4,488.958,201.947,2.9233,3.9727,9.63e-08,5.78e-09,121.59,107.38,96.34,270.0,9.2
12.5,490.083,204.444,2.8641,4.004,9.59e-08,5.88e-09,121.58,107.38,96.34,269.99,9.2
13.6,491.197,179.178,2.8885,3.8789,9.57e-08,5.86e-09,121.59,107.38,96.34,270.0,9.2
14.7,492.319,210.284,2.9101,4.1292,9.65e-08,5.85e-09,121.59,107.38,96.34,270.0,8.8
15.9,493.451,206.381,2.7909,4.1917,9.6e-08,5.86e-09,121.59,107.38,96.34,270.0,8.8
17.0,494.57,215.437,2.9242,3.8789,9.59e-08,5.8e-09,121.58,107.37,96.34,270.0,8.8
18.1,495.693,185.781,2.7825,4.1917,9.39e-08,5.69e-09,121.59,107.37,96.35,270.0,8.8
19.2,496.805,180.655,2.9092,4.3794,9.7e-08,5.76e-09,121.59,107.37,96.35,270.0,8.8
20.3,497.923,199.45,2.8266,4.6609,9.56e-08,5.71e-09,121.59,107.38,96.34,270.0,8.8
21.5,499.056,211.299,2.9035,4.004,9.62e-08,5.78e-09,121.59,107.38,96.34,270.0,8.8
22.6,500.174,188.315,2.8745,4.4107,9.47e-08,5.83e-09,121.58,107.37,96.34,270.0,8.8
23.7,501.3,186.918,2.8904,4.1604,9.61e-08,5.76e-09,121.59,107.38,96.34,269.99,8.8
24.8,502.419,203.209,2.9111,4.0353,9.53e-08,5.84e-09,121.59,107.38,96.34,270.0,8.8
25.9,503.544,202.254,2.9692,4.442,9.43e-08,5.82e-09,121.59,107.38,96.34,269.99,8.8
