block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,4463.566,184.886,3.0331,4.8486,1.05e-07,6.67e-09,129.92,100.24,104.94,269.99,3.6
1.1,4464.641,165.403,3.0715,4.9112,1.05e-07,6.59e-09,129.93,100.24,104.94,269.99,3.6
2.2,4465.701,188.433,3.0199,4.9112,1.05e-07,6.62e-09,129.93,100.24,104.94,270.0,3.6
3.2,4466.781,175.016,3.0668,4.9112,1.05e-07,6.68e-09,129.94,100.24,104.94,270.01,3.6
4.3,4467.864,174.278,3.0772,5.1302,1.05e-07,6.65e-09,129.93,100.24,104.94,270.0,3.6
5.4,4468.942,189.18,3.1006,5.0989,1.05e-07,6.73e-09,129.94,100.25,104.94,270.0,3.6
6.5,4470.002,187.746,3.1184,3.7225,1.05e-07,6.65e-09,129.94,100.25,104.94,269.99,3.6
7.6,4471.127,171.605,3.0725,5.1614,1.05e-07,6.61e-09,129.94,100.25,104.94,270.0,3.6
8.7,4472.245,185.282,3.0612,4.8799,1.05e-07,6.62e-09,129.94,100.25,104.94,270.0,3.2
9.8,4473.345,167.809,3.2376,5.0989,1.05e-07,6.61e-09,129.95,100.24,104.94,270.0,3.2
10.9,4474.406,178.713,3.0265,4.9112,1.05e-07,6.56e-09,129.95,100.24,104.94,270.0,3.2
11.9,4475.483,200.636,3.0152,4.1917,1.05e-07,6.77e-09,129.95,100.24,104.94,270.0,3.2
13.0,4476.564,166.788,2.9936,5.0363,1.05e-07,6.67e-09,129.95,100.25,104.93,270.0,3.2
14.1,4477.64,177.68,3.1119,5.1614,1.05e-07,6.65e-09,129.93,100.24,104.94,269.99,3.2
15.2,4478.695,171.904,3.0387,5.005,1.05e-07,6.63e-09,129.94,100.24,104.94,269.99,3.2
16.2,4479.77,171.332,3.0941,4.8486,1.05e-07,6.73e-09,129.94,100.24,104.94,269.99,3.2
17.3,4480.844,171.292,3.1072,5.0989,1.05e-07,6.62e-09,129.94,100.24,104.94,270.0,3.2
18.4,4481.927,181.321,3.0781,5.1614,1.06e-07,6.64e-09,129.94,100.24,104.94,270.0,3.6
19.5,4482.987,195.511,2.9617,4.8173,1.06e-07,6.71e-09,129.94,100.24,104.94,270.0,3.6
20.5,4484.083,171.642,3.2282,5.1614,1.05e-07,6.76e-09,129.94,100.24,104.94,270.0,3.6
