block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,3646.531,152.71,2.8416,6.006,1.09e-07,8.07e-09,130.0,105.67,103.96,270.0,4.0
1.1,3647.59,141.101,2.8407,5.9435,1.09e-07,8.03e-09,130.0,105.67,103.97,270.01,4.0
2.2,3648.676,157.85,2.775,5.7558,1.09e-07,7.93e-09,130.01,105.67,103.97,270.01,4.0
3.3,3649.784,153.466,2.8482,4.7861,1.1e-07,8e-09,130.01,105.67,103.97,269.99,4.0
4.4,3650.909,158.88,2.7956,4.9738,1.09e-07,8e-09,130.0,105.67,103.96,269.99,4.0
5.5,3652.017,124.028,2.6933,5.3804,1.1e-07,7.97e-09,130.0,105.68,103.96,270.0,4.0
6.6,3653.078,168.428,2.7309,4.9112,1.09e-07,7.98e-09,130.0,105.67,103.96,270.0,4.0
7.7,3654.154,140.805,2.6051,5.5994,1.1e-07,8.06e-09,130.0,105.67,103.97,270.0,4.0
8.7,3655.232,160.546,2.8106,5.224,1.09e-07,8e-09,130.0,105.68,103.96,270.0,4.0
9.8,3656.306,145.129,2.8106,5.1302,1.09e-07,7.95e-09,130.0,105.68,103.97,269.99,4.0
10.9,3657.365,150.557,2.775,5.1614,1.09e-07,7.91e-09,129.99,105.67,103.97,269.99,4.0
12.0,3658.448,148.275,2.7684,6.0999,1.1e-07,7.97e-09,130.0,105.67,103.97,270.0,4.0
13.0,3659.528,148.044,2.7853,5.2553,1.09e-07,7.89e-09,129.99,105.67,103.96,270.0,4.0
14.1,3660.584,146.897,2.8407,6.0999,1.1e-07,8.02e-09,129.99,105.67,103.97,270.0,4.0
15.2,3661.662,152.943,2.6896,5.5994,1.09e-07,8.06e-09,130.0,105.67,103.97,270.0,4.0
16.3,3662.768,135.801,2.7112,5.0676,1.1e-07,8.01e-09,130.0,105.67,103.97,270.0,4.0
17.4,3663.885,157.418,2.8688,5.0989,1.09e-07,7.91e-09,130.0,105.67,103.96,270.0,4.0
