block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,10088.081,208.979,3.2827,5.8496,1.04e-07,1.68e-08,119.97,100.06,98.05,270.0,3.2
1.2,10089.181,222.168,3.2648,5.4743,1.03e-07,1.69e-08,119.97,100.07,98.05,270.0,3.2
2.2,10090.255,231.545,3.3136,6.006,1.04e-07,1.68e-08,119.98,100.06,98.05,270.01,3.2
3.3,10091.334,220.12,3.2095,5.4117,1.03e-07,1.69e-08,119.97,100.06,98.05,270.0,3.2
4.4,10092.408,216.938,3.3193,6.1937,1.03e-07,1.69e-08,119.99,100.06,98.05,269.99,3.2
5.4,10093.479,225.442,3.2911,5.8809,1.03e-07,1.68e-08,119.98,100.06,98.05,269.99,3.2
6.5,10094.563,217.255,3.3418,6.0999,1.02e-07,1.67e-08,119.97,100.06,98.05,269.99,3.2
7.6,10095.643,216.791,3.2461,5.443,1.03e-07,1.68e-08,119.98,100.06,98.05,270.0,3.2
8.7,10096.716,208.446,3.3521,6.1624,1.03e-07,1.69e-08,119.98,100.06,98.05,270.01,3.2
9.7,10097.774,215.936,3.2536,5.8496,1.03e-07,1.69e-08,119.99,100.06,98.05,270.01,3.2
10.8,10098.863,216.911,3.2968,5.5681,1.03e-07,1.69e-08,119.99,100.06,98.05,269.99,3.2
11.9,10099.934,205.791,3.2648,5.5994,1.03e-07,1.69e-08,119.99,100.06,98.05,269.99,3.2
13.0,10101.057,210.503,3.3005,6.0686,1.04e-07,1.69e-08,119.99,100.06,98.05,270.0,3.2
14.1,10102.175,210.86,3.2132,5.6619,1.04e-07,1.68e-08,119.99,100.06,98.05,270.0,3.2
15.2,10103.268,213.396,3.293,5.9435,1.03e-07,1.68e-08,119.99,100.06,98.05,270.0,3.2
16.3,10104.343,211.212,3.323,6.0686,1.03e-07,1.68e-08,119.99,100.06,98.05,270.0,3.2
17.4,10105.419,215.754,3.2874,5.3179,1.03e-07,1.67e-08,119.99,100.06,98.05,270.0,3.2
18.5,10106.48,226.98,3.2611,5.8496,1.04e-07,1.68e-08,120.0,100.06,98.05,269.99,3.2
19.5,10107.555,214.446,3.2846,5.443,1.03e-07,1.69e-08,120.0,100.06,98.05,269.99,3.2
20.6,10108.631,219.861,3.2752,6.006,1.02e-07,1.68e-08,120.01,100.06,98.05,270.0,3.2
21.7,10109.688,230.67,3.2658,5.5055,1.04e-07,1.68e-08,120.01,100.06,98.04,270.0,3.2
22.7,10110.77,216.505,3.2977,5.7871,1.03e-07,1.68e-08,120.01,100.06,98.04,270.01,3.6
23.8,10111.851,208.92,3.3371,5.8184,1.03e-07,1.68e-08,120.01,100.06,98.04,270.0,3.6
24.9,10112.923,223.117,3.2414,5.8184,1.03e-07,1.68e-08,120.01,100.06,98.05,269.99,3.6
26.0,10114.029,206.55,3.2048,5.3179,1.03e-07,1.69e-08,120.01,100.06,98.05,269.99,3.6
27.1,10115.152,214.576,3.2686,5.4743,1.03e-07,1.68e-08,120.01,100.06,98.05,270.0,3.6
28.2,10116.245,216.615,3.3146,6.006,1.04e-07,1.68e-08,120.01,100.06,98.05,270.01,3.6
29.3,10117.326,235.891,3.2714,5.6307,1.03e-07,1.68e-08,120.01,100.06,98.05,270.0,3.6
30.4,10118.384,217.203,3.2301,5.4743,1.03e-07,1.67e-08,120.01,100.06,98.05,270.0,3.6
31.4,10119.467,214.42,3.2761,6.0999,1.03e-07,1.67e-08,119.99,100.06,98.05,269.99,3.6
32.5,10120.547,210.333,3.2648,5.7558,1.04e-07,1.67e-08,120.0,100.06,98.05,269.99,3.2
33.6,10121.625,223.311,3.263,5.6619,1.03e-07,1.68e-08,120.0,100.06,98.05,269.99,3.2
34.7,10122.684,215.604,3.2686,6.0686,1.03e-07,1.68e-08,119.99,100.06,98.05,270.0,3.2
35.7,10123.759,221.404,3.2799,5.9748,1.03e-07,1.68e-08,119.99,100.06,98.05,270.01,3.2
36.8,10124.853,217.309,3.2911,6.006,1.03e-07,1.68e-08,119.99,100.06,98.05,270.0,3.2
37.9,10125.931,226.478,3.3005,5.9748,1.03e-07,1.67e-08,119.99,100.06,98.05,270.0,3.2
39.0,10127.01,233.618,3.278,6.0373,1.02e-07,1.67e-08,119.99,100.06,98.05,269.99,3.2
40.0,10128.075,215.023,3.2536,5.9748,1.04e-07,1.68e-08,120.0,100.06,98.05,270.0,3.2
41.1,10129.148,215.346,3.3465,6.0373,1.04e-07,1.68e-08,120.0,100.06,98.05,270.0,3.2
42.2,10130.226,215.628,3.2545,5.9748,1.03e-07,1.68e-08,120.0,100.06,98.05,270.0,3.2
43.3,10131.285,215.375,3.2367,5.1614,1.03e-07,1.69e-08,120.0,100.06,98.05,269.99,3.2
44.3,10132.37,202.359,3.2433,4.3168,1.04e-07,1.67e-08,120.0,100.06,98.05,270.0,3.2
45.4,10133.445,229.237,3.3005,6.0999,1.03e-07,1.67e-08,120.01,100.06,98.05,270.0,3.2
46.5,10134.522,221.27,3.3324,5.9748,1.04e-07,1.67e-08,120.01,100.06,98.05,270.0,3.2
47.6,10135.58,212.142,3.3474,5.9435,1.03e-07,1.67e-08,119.99,100.06,98.05,270.0,3.2
48.6,10136.664,228.326,3.2414,6.0686,1.03e-07,1.68e-08,120.0,100.06,98.05,269.99,3.2
49.7,10137.779,227.934,3.2902,6.006,1.03e-07,1.67e-08,120.01,100.06,98.05,269.99,3.2
50.9,10138.913,223.507,3.3005,5.9122,1.04e-07,1.68e-08,120.0,100.06,98.05,270.0,3.2
51.9,10139.976,216.641,3.3249,5.9435,1.04e-07,1.68e-08,120.01,100.06,98.05,270.01,3.6
53.0,10141.059,225.077,3.2667,5.5994,1.04e-07,1.67e-08,120.0,100.06,98.05,270.0,3.6
54.1,10142.147,211.15,3.263,5.7245,1.03e-07,1.68e-08,120.0,100.06,98.05,269.99,3.6
55.2,10143.224,224.534,3.2555,5.8809,1.03e-07,1.67e-08,120.0,100.06,98.05,269.99,3.6
56.3,10144.287,233.073,3.2451,6.1937,1.02e-07,1.67e-08,120.0,100.06,98.05,269.99,3.6
57.3,10145.361,215.728,3.263,5.5681,1.04e-07,1.67e-08,120.0,100.06,98.05,270.0,3.6
58.4,10146.45,211.34,3.2808,5.6307,1.03e-07,1.69e-08,120.0,100.06,98.05,270.0,3.6
59.5,10147.525,245.873,3.156,5.7558,1.03e-07,1.67e-08,120.0,100.06,98.05,270.0,3.6
