block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,12539.068,134.559,3.1513,3.9102,1.04e-07,1.59e-08,120.0,97.42,99.58,269.99,2.8
1.1,12540.138,150.431,3.1522,4.0979,1.04e-07,1.6e-08,120.0,97.42,99.58,270.0,2.8
2.2,12541.223,143.317,3.1532,4.0353,1.04e-07,1.6e-08,120.0,97.43,99.58,270.0,2.8
3.2,12542.281,144.312,3.1156,3.9102,1.04e-07,1.59e-08,120.01,97.43,99.57,270.01,2.8
4.3,12543.384,150.62,3.0697,3.3784,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.8
5.5,12544.517,134.294,3.1438,4.0353,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.8
6.6,12545.62,124.534,3.126,3.8163,1.03e-07,1.59e-08,120.0,97.44,99.57,269.99,2.8
7.6,12546.677,130.58,3.0912,3.5974,1.04e-07,1.59e-08,120.0,97.44,99.58,270.0,2.8
8.7,12547.75,170.85,3.0809,3.5661,1.04e-07,1.59e-08,120.0,97.44,99.58,270.0,2.8
9.8,12548.833,161.905,3.1616,4.0353,1.04e-07,1.59e-08,120.0,97.44,99.58,270.0,2.8
10.9,12549.893,141.017,3.064,3.4722,1.05e-07,1.6e-08,120.0,97.45,99.57,270.0,2.8
11.9,12550.972,124.781,3.0959,3.9102,1.04e-07,1.6e-08,120.0,97.44,99.57,269.99,2.8
13.0,12552.051,128.264,3.1034,3.7538,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.8
14.1,12553.123,144.112,3.0894,3.6287,1.04e-07,1.59e-08,120.0,97.44,99.57,270.0,2.8
15.1,12554.192,155.241,3.0668,3.5035,1.04e-07,1.59e-08,120.0,97.44,99.58,270.0,2.8
16.2,12555.27,142.165,3.1663,4.0979,1.05e-07,1.59e-08,120.0,97.44,99.57,270.0,2.8
17.3,12556.361,130.381,3.1138,3.6912,1.04e-07,1.59e-08,120.0,97.43,99.58,269.99,2.8
18.4,12557.475,136.73,3.0734,3.5661,1.04e-07,1.6e-08,120.0,97.44,99.57,269.99,2.8
19.5,12558.576,165.403,3.1607,3.441,1.03e-07,1.6e-08,120.0,97.44,99.58,270.0,2.8
20.6,12559.658,160.278,3.1438,4.004,1.04e-07,1.6e-08,120.0,97.44,99.58,270.0,2.8
21.7,12560.731,132.123,3.1391,3.9727,1.04e-07,1.59e-08,120.0,97.44,99.58,270.0,2.4
22.8,12561.793,125.501,3.0781,3.441,1.04e-07,1.59e-08,120.0,97.44,99.58,269.99,2.4
23.8,12562.877,145.241,3.1522,4.1604,1.04e-07,1.59e-08,120.0,97.44,99.57,270.0,2.4
24.9,12563.953,139.125,3.0837,3.3471,1.05e-07,1.59e-08,120.01,97.44,99.58,270.0,2.4
26.0,12565.036,135.164,3.1034,3.9102,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.4
27.1,12566.116,137.091,3.1194,3.9415,1.04e-07,1.6e-08,120.0,97.44,99.57,269.99,2.4
28.1,12567.175,138.999,3.126,3.8789,1.04e-07,1.6e-08,120.0,97.44,99.58,269.99,2.4
29.2,12568.251,145.297,3.0819,3.5035,1.05e-07,1.59e-08,120.0,97.44,99.58,270.0,2.4
30.3,12569.339,122.51,3.0875,3.5035,1.04e-07,1.6e-08,120.0,97.44,99.58,270.0,2.4
31.4,12570.453,141.286,3.1016,3.9102,1.04e-07,1.59e-08,120.0,97.44,99.57,270.0,2.4
32.5,12571.57,138.038,3.0565,3.3784,1.03e-07,1.59e-08,120.0,97.44,99.58,270.0,2.4
33.6,12572.657,153.323,3.0959,3.5661,1.04e-07,1.61e-08,120.0,97.44,99.57,269.99,2.4
34.7,12573.728,158.491,3.1626,4.223,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.4
35.8,12574.818,152.624,3.1213,3.8789,1.04e-07,1.6e-08,120.0,97.44,99.58,270.0,2.4
36.8,12575.881,146.321,3.125,3.9102,1.04e-07,1.61e-08,120.0,97.44,99.58,270.0,2.4
37.9,12576.955,133.114,3.0987,3.8476,1.04e-07,1.6e-08,120.0,97.44,99.57,269.99,2.4
39.0,12578.029,152.211,3.0687,3.3784,1.04e-07,1.59e-08,120.0,97.44,99.57,269.99,2.4
40.0,12579.091,135.022,3.155,3.9415,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.4
41.1,12580.163,154.052,3.0593,3.441,1.04e-07,1.6e-08,120.0,97.44,99.58,270.0,2.8
42.2,12581.241,149.865,3.1081,3.8789,1.04e-07,1.6e-08,120.0,97.44,99.57,270.0,2.8
