block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,3940.222,217.423,3.3962,4.1292,1.06e-07,9.37e-09,122.73,100.55,96.77,269.99,4.4
1.0,3941.253,217.198,3.1128,4.8799,1.06e-07,9.38e-09,122.73,100.54,96.77,269.99,4.4
2.1,3942.304,236.683,3.202,3.7225,1.06e-07,9.44e-09,122.73,100.55,96.77,269.99,4.4
3.1,3943.336,235.721,3.1325,4.2856,1.06e-07,9.45e-09,122.73,100.54,96.77,270.0,4.4
4.1,3944.366,235.882,3.3606,3.7225,1.06e-07,9.58e-09,122.73,100.54,96.77,270.01,4.4
5.2,3945.411,232.321,3.3249,5.0989,1.06e-07,9.38e-09,122.73,100.54,96.77,270.0,4.4
6.2,3946.449,257.096,3.3671,3.8789,1.05e-07,9.32e-09,122.73,100.55,96.77,270.0,4.4
7.3,3947.5,245.725,3.1382,3.7225,1.05e-07,9.47e-09,122.73,100.55,96.77,269.99,4.4
8.3,3948.535,188.734,3.2151,4.3168,1.06e-07,9.4e-09,122.73,100.54,96.77,270.0,4.4
9.3,3949.565,272.998,2.9852,3.6287,1.05e-07,9.55e-09,122.73,100.55,96.77,270.0,4.4
10.4,3950.611,245.656,3.4319,4.1292,1.05e-07,9.44e-09,122.73,100.55,96.77,270.0,4.4
11.4,3951.646,276.6,3.2761,3.4722,1.05e-07,9.53e-09,122.74,100.55,96.77,270.01,4.4
12.5,3952.71,217.066,3.308,4.223,1.05e-07,9.41e-09,122.75,100.55,96.77,269.99,4.4
13.5,3953.763,216.945,3.3737,3.7225,1.05e-07,9.37e-09,122.74,100.55,96.77,269.99,4.8
14.6,3954.84,282.61,3.3474,3.7225,1.05e-07,9.46e-09,122.74,100.55,96.77,269.99,4.8
15.7,3955.914,253.114,3.2977,3.4097,1.05e-07,9.45e-09,122.74,100.55,96.77,270.0,4.8
16.7,3956.949,242.308,3.1682,4.9425,1.04e-07,9.48e-09,122.75,100.55,96.76,270.01,4.8
17.8,3957.996,236.163,3.4084,4.5671,1.05e-07,9.47e-09,122.75,100.54,96.76,270.0,4.8
18.8,3959.029,279.163,2.9993,4.5358,1.05e-07,9.28e-09,122.74,100.55,96.77,269.99,4.8
19.8,3960.064,206.097,3.3183,3.8789,1.05e-07,9.42e-09,122.75,100.55,96.77,269.99,4.8
20.9,3961.116,239.607,3.3418,3.6599,1.05e-07,9.45e-09,122.75,100.55,96.77,269.99,4.8
21.9,3962.148,241.871,3.2226,4.4733,1.04e-07,9.58e-09,122.76,100.55,96.77,270.0,4.8
23.0,3963.199,263.166,3.2592,3.8789,1.05e-07,9.48e-09,122.75,100.54,96.76,270.01,4.8
24.0,3964.243,273.474,3.3287,3.7225,1.04e-07,9.55e-09,122.75,100.55,96.77,270.01,4.4
25.1,3965.303,247.456,3.2799,3.8789,1.05e-07,9.43e-09,122.73,100.54,96.77,270.0,4.4
26.1,3966.358,285.307,3.4141,3.5974,1.04e-07,9.4e-09,122.74,100.54,96.77,269.99,4.4
27.2,3967.429,195.794,3.2921,3.5661,1.04e-07,9.35e-09,122.74,100.54,96.77,269.99,4.4
28.3,3968.501,238.359,3.1269,5.6619,1.04e-07,9.4e-09,122.74,100.55,96.76,269.99,4.4
29.3,3969.544,219.936,3.2799,3.7851,1.04e-07,9.58e-09,122.74,100.55,96.77,270.0,4.4
30.4,3970.588,232.547,2.9833,3.5974,1.04e-07,9.44e-09,122.74,100.55,96.77,270.01,4.4
31.4,3971.62,266.691,3.202,3.6912,1.04e-07,9.42e-09,122.74,100.55,96.77,270.0,4.4
32.4,3972.649,288.636,2.9326,3.5035,1.04e-07,9.5e-09,122.74,100.55,96.77,269.99,4.4
33.5,3973.711,279.713,3.2207,4.5984,1.04e-07,9.46e-09,122.74,100.55,96.77,269.99,4.4
34.5,3974.747,248.376,3.247,3.5661,1.04e-07,9.4e-09,122.73,100.55,96.77,269.99,4.4
35.6,3975.799,211.558,3.1194,4.6297,1.04e-07,9.46e-09,122.74,100.55,96.77,270.0,4.4
36.6,3976.834,244.201,3.3915,4.0979,1.04e-07,9.49e-09,122.74,100.55,96.77,270.01,4.4
37.6,3977.866,264.022,3.3118,3.3784,1.04e-07,9.5e-09,122.75,100.54,96.77,270.01,4.4
38.7,3978.928,275.073,3.3897,4.4733,1.04e-07,9.48e-09,122.75,100.55,96.77,270.0,4.4
39.7,3979.963,225.631,3.2433,3.8476,1.04e-07,9.33e-09,122.75,100.55,96.77,269.98,4.4
40.8,3981.013,267.157,3.339,3.3784,1.04e-07,9.42e-09,122.75,100.54,96.77,269.99,4.4
41.8,3982.05,263.128,3.3277,3.3471,1.03e-07,9.63e-09,122.75,100.55,96.77,269.99,4.4
42.9,3983.103,227.012,3.2667,3.8163,1.04e-07,9.51e-09,122.75,100.55,96.77,269.99,4.4
43.9,3984.136,274.721,2.9336,4.3168,1.04e-07,9.41e-09,122.75,100.55,96.77,270.0,3.2
45.0,3985.186,258.023,3.3596,4.2856,1.04e-07,9.49e-09,122.75,100.54,96.77,270.0,3.2
46.0,3986.22,261.758,3.2564,5.1302,1.04e-07,9.42e-09,122.75,100.55,96.77,270.0,3.2
47.0,3987.25,267.091,3.2949,3.7538,1.04e-07,9.36e-09,122.75,100.55,96.77,270.01,3.2
48.1,3988.303,261.537,3.3897,3.5348,1.03e-07,9.39e-09,122.75,100.55,96.77,269.99,3.2
49.1,3989.36,287.566,3.3512,3.3784,1.04e-07,9.68e-09,122.75,100.55,96.77,269.99,3.2
50.2,3990.433,209.637,3.277,3.222,1.04e-07,9.53e-09,122.74,100.55,96.77,270.0,3.2
51.3,3991.498,282.78,3.2883,4.5671,1.03e-07,9.4e-09,122.74,100.55,96.76,270.0,3.2
52.3,3992.554,293.283,3.309,3.7225,1.04e-07,9.45e-09,122.74,100.55,96.77,270.0,3.2
53.4,3993.603,268.538,3.2958,3.7225,1.04e-07,9.34e-09,122.75,100.55,96.76,270.0,3.2
54.4,3994.64,269.385,3.1898,3.222,1.03e-07,9.56e-09,122.74,100.55,96.77,269.99,4.4
55.5,3995.693,276.354,3.0725,3.4097,1.03e-07,9.35e-09,122.74,100.55,96.77,270.0,4.4
56.5,3996.727,253.841,3.3671,4.1292,1.03e-07,9.51e-09,122.75,100.54,96.77,269.99,4.4
57.5,3997.758,285.921,3.247,4.3481,1.03e-07,9.49e-09,122.74,100.55,96.77,270.0,4.4
58.6,3998.806,248.223,3.3728,3.3471,1.03e-07,9.35e-09,122.74,100.55,96.77,269.99,4.4
59.6,3999.839,266.564,3.2001,5.4743,1.04e-07,9.42e-09,122.74,100.54,96.77,270.0,4.4
