block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,1764.146,197.533,3.0828,5.7558,1.09e-07,9.12e-09,120.11,108.66,99.08,270.01,4.8
1.1,1765.208,206.063,3.202,4.6922,1.08e-07,9.09e-09,120.12,108.66,99.08,270.0,4.8
2.1,1766.287,160.54,2.8773,6.0373,1.08e-07,9.18e-09,120.12,108.66,99.09,269.99,4.8
3.2,1767.347,189.674,3.1982,4.5671,1.08e-07,9.26e-09,120.12,108.65,99.09,269.99,4.8
4.3,1768.419,150.461,2.9871,5.8184,1.09e-07,9.2e-09,120.12,108.65,99.09,269.99,4.8
5.3,1769.454,219.978,2.9664,6.006,1.08e-07,9.1e-09,120.12,108.65,99.09,269.99,4.8
6.4,1770.504,213.32,3.0997,5.8496,1.09e-07,9.11e-09,120.12,108.65,99.09,269.99,4.8
7.4,1771.542,163.541,3.0959,7.2573,1.08e-07,9.21e-09,120.12,108.65,99.09,270.01,4.8
8.4,1772.591,178.003,3.0321,6.9445,1.08e-07,9.24e-09,120.13,108.66,99.09,270.01,4.8
9.5,1773.628,215.79,3.0828,5.6932,1.08e-07,9.11e-09,120.13,108.66,99.08,270.0,4.8
10.5,1774.659,188.653,3.1748,5.5681,1.09e-07,9.3e-09,120.13,108.66,99.08,270.0,4.4
11.6,1775.72,195.421,3.079,7.1947,1.08e-07,9.18e-09,120.13,108.66,99.08,269.99,4.4
12.6,1776.762,197.244,2.9195,7.1947,1.08e-07,9.11e-09,120.13,108.66,99.09,269.99,4.4
13.7,1777.812,238.439,3.1391,7.226,1.08e-07,9.11e-09,120.12,108.66,99.08,270.0,4.4
14.7,1778.844,205.504,3.0743,6.2876,1.08e-07,9.11e-09,120.13,108.67,99.08,270.0,4.4
15.7,1779.895,207.4,3.0359,5.9748,1.08e-07,9.22e-09,120.12,108.67,99.09,270.01,4.4
16.8,1780.927,225.23,3.1494,5.1302,1.08e-07,9.08e-09,120.12,108.66,99.08,270.0,4.4
17.8,1781.959,165.473,3.2921,4.6609,1.08e-07,9.12e-09,120.12,108.66,99.08,269.99,4.4
18.9,1783.007,148.036,3.0894,6.3814,1.08e-07,9.29e-09,120.12,108.66,99.09,269.99,4.4
19.9,1784.043,184.435,2.9589,4.8173,1.08e-07,9.17e-09,120.12,108.65,99.09,270.0,4.8
20.9,1785.092,219.566,3.0105,5.7558,1.08e-07,9.24e-09,120.12,108.66,99.09,270.0,4.8
22.0,1786.124,207.16,3.0912,6.5691,1.08e-07,9.22e-09,120.12,108.65,99.09,270.0,4.8
23.0,1787.156,161.852,3.1222,5.9748,1.08e-07,9.27e-09,120.12,108.66,99.09,270.01,4.8
24.1,1788.211,199.441,3.2048,6.7881,1.09e-07,9.05e-09,120.12,108.65,99.08,269.99,4.8
25.1,1789.283,196.553,3.0021,5.9122,1.08e-07,9.12e-09,120.12,108.65,99.09,269.99,4.8
26.2,1790.344,146.295,3.2526,4.9425,1.08e-07,9.12e-09,120.12,108.66,99.09,269.99,4.8
27.3,1791.41,214.507,3.2076,5.7245,1.08e-07,9.25e-09,120.12,108.66,99.09,270.0,4.8
28.3,1792.457,206.533,3.1804,6.3814,1.08e-07,9.27e-09,120.12,108.66,99.09,270.01,4.8
29.4,1793.511,201.499,3.0668,4.9425,1.08e-07,9.12e-09,120.12,108.66,99.08,270.0,4.8
30.4,1794.544,197.563,3.1672,5.1614,1.08e-07,9.08e-09,120.12,108.66,99.09,269.99,4.4
31.4,1795.592,208.137,3.1963,5.0363,1.08e-07,9.18e-09,120.12,108.66,99.09,269.99,4.4
32.5,1796.631,189.994,3.2048,5.1302,1.09e-07,9.21e-09,120.12,108.66,99.08,269.99,4.4
33.5,1797.664,206.289,2.7947,4.3481,1.08e-07,9.09e-09,120.12,108.66,99.08,270.0,4.4
34.6,1798.722,210.863,3.0068,5.1614,1.08e-07,9.16e-09,120.12,108.66,99.09,270.01,4.4
35.6,1799.754,152.258,2.8228,4.1292,1.08e-07,9.27e-09,120.13,108.66,99.09,270.01,4.4
36.7,1800.808,182.73,3.1109,5.443,1.08e-07,9.08e-09,120.13,108.66,99.09,270.0,4.4
37.7,1801.847,206.739,3.2367,4.5045,1.08e-07,9.08e-09,120.12,108.65,99.09,269.99,4.4
38.8,1802.901,221.57,3.125,5.6619,1.08e-07,9.11e-09,120.13,108.65,99.09,269.99,4.4
39.8,1803.939,221.191,3.0865,7.1947,1.08e-07,9.16e-09,120.13,108.65,99.08,269.99,4.8
40.8,1804.985,201.47,2.6464,7.1635,1.08e-07,9.23e-09,120.12,108.66,99.09,270.0,4.8
41.9,1806.021,186.049,3.1016,6.6317,1.08e-07,9.03e-09,120.12,108.66,99.09,270.0,4.8
42.9,1807.056,182.798,2.8332,5.4117,1.08e-07,9.11e-09,120.13,108.66,99.08,270.01,4.8
44.0,1808.104,192.263,3.1832,5.5994,1.08e-07,9.15e-09,120.12,108.66,99.09,270.0,4.8
45.0,1809.137,188.972,3.0499,5.6932,1.08e-07,9.19e-09,120.12,108.66,99.09,269.99,4.8
46.0,1810.191,152.76,3.1569,4.9425,1.08e-07,9.24e-09,120.13,108.66,99.09,269.99,4.8
47.1,1811.222,235.629,3.1494,5.0363,1.08e-07,9.25e-09,120.12,108.65,99.08,269.99,4.8
48.1,1812.286,201.481,3.1428,7.1947,1.08e-07,9.26e-09,120.12,108.66,99.09,270.0,4.8
49.2,1813.341,185.16,2.9861,5.8496,1.08e-07,9.16e-09,120.12,108.66,99.08,270.01,4.8
