block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,3665.597,259.985,3.3746,5.2553,1.02e-07,7.22e-09,123.52,100.98,99.57,270.0,3.6
1.0,3666.629,248.723,3.3512,5.5055,1.03e-07,7.21e-09,123.52,100.98,99.57,269.99,3.6
2.1,3667.685,244.2,3.3193,4.3168,1.03e-07,7.16e-09,123.52,100.98,99.57,270.0,3.6
3.1,3668.722,238.153,3.3474,4.4107,1.03e-07,7.12e-09,123.52,100.98,99.57,270.0,3.6
4.2,3669.768,249.927,3.3437,4.2543,1.03e-07,7.19e-09,123.52,100.98,99.57,269.99,3.6
5.2,3670.798,242.061,3.4347,4.0666,1.03e-07,7.18e-09,123.52,100.98,99.57,270.0,3.6
6.2,3671.835,234.423,3.3212,4.7861,1.02e-07,7.27e-09,123.52,100.98,99.57,270.0,3.6
7.3,3672.886,225.879,3.3981,4.1604,1.03e-07,7.11e-09,123.52,100.98,99.58,270.0,3.6
8.3,3673.924,253.042,3.3136,4.3794,1.02e-07,7.16e-09,123.52,100.98,99.57,270.0,3.6
9.4,3674.978,243.119,3.3202,4.1292,1.03e-07,7.13e-09,123.52,100.98,99.58,269.99,3.6
10.4,3676.01,225.455,3.3249,4.5045,1.02e-07,7.12e-09,123.52,100.98,99.58,270.0,3.6
11.4,3677.044,235.46,3.3305,4.0353,1.02e-07,7.22e-09,123.53,100.98,99.57,270.0,3.6
12.5,3678.098,238.141,3.3972,3.9102,1.02e-07,7.26e-09,123.53,100.98,99.57,269.99,3.6
13.5,3679.134,264.79,3.3915,4.3794,1.03e-07,7.23e-09,123.53,100.97,99.58,270.0,3.6
14.6,3680.186,266.321,3.1203,4.0353,1.03e-07,7.15e-09,123.53,100.97,99.58,270.0,3.6
15.6,3681.228,228.484,3.37,4.223,1.03e-07,7.09e-09,123.54,100.97,99.57,270.0,3.6
16.7,3682.29,238.038,3.4319,3.3784,1.03e-07,7.19e-09,123.54,100.97,99.58,269.99,3.6
17.7,3683.345,265.799,3.2517,4.004,1.02e-07,7.23e-09,123.54,100.98,99.57,269.99,4.0
18.8,3684.416,243.503,3.4131,3.8163,1.03e-07,7.21e-09,123.54,100.98,99.58,270.0,4.0
19.9,3685.497,238.653,3.2667,3.9727,1.03e-07,7.25e-09,123.54,100.98,99.57,270.01,4.0
20.9,3686.536,238.868,3.4103,4.2856,1.02e-07,7.25e-09,123.54,100.98,99.57,270.0,4.0
22.0,3687.587,246.101,3.4732,4.004,1.02e-07,7.16e-09,123.54,100.98,99.57,269.99,4.0
23.0,3688.622,254.753,3.3446,4.4107,1.03e-07,7.14e-09,123.54,100.98,99.58,269.99,4.0
24.1,3689.671,232.008,3.4488,3.6912,1.02e-07,7.13e-09,123.54,100.98,99.57,269.99,4.0
25.1,3690.707,260.395,3.3155,4.0979,1.03e-07,7.26e-09,123.54,100.98,99.57,270.01,4.0
26.1,3691.74,193.859,3.3465,4.1292,1.03e-07,7.24e-09,123.54,100.98,99.58,270.01,4.0
27.2,3692.793,255.913,3.3775,4.0666,1.02e-07,7.13e-09,123.53,100.98,99.57,270.0,3.6
28.2,3693.829,236.558,3.3446,4.0666,1.03e-07,7.11e-09,123.54,100.98,99.58,269.99,3.6
29.3,3694.884,227.082,3.4056,4.1604,1.02e-07,7.14e-09,123.53,100.98,99.58,269.99,3.6
30.3,3695.92,249.742,3.46,3.441,1.02e-07,7.26e-09,123.53,100.98,99.57,270.0,3.6
31.4,3696.976,249.505,3.3371,4.1604,1.02e-07,7.12e-09,123.53,100.98,99.58,270.01,3.6
32.4,3698.013,235.983,3.3728,4.4733,1.02e-07,7.23e-09,123.53,100.97,99.58,270.0,3.6
33.5,3699.05,259.365,3.3258,4.223,1.02e-07,7.23e-09,123.53,100.98,99.57,269.99,3.6
34.5,3700.096,266.497,3.3653,4.6297,1.02e-07,7.16e-09,123.53,100.98,99.58,269.99,3.6
35.5,3701.129,271.885,3.3615,4.004,1.03e-07,7.11e-09,123.54,100.98,99.57,269.99,3.6
36.6,3702.174,246.669,3.4066,3.6912,1.03e-07,7.18e-09,123.53,100.97,99.58,270.0,3.6
37.6,3703.208,248.025,3.3596,4.0979,1.03e-07,7.25e-09,123.54,100.98,99.58,270.0,3.6
38.6,3704.243,242.707,3.3427,4.223,1.02e-07,7.24e-09,123.54,100.98,99.57,270.0,3.6
39.7,3705.293,247.323,3.3578,4.3481,1.03e-07,7.18e-09,123.54,100.97,99.57,270.0,3.6
40.8,3706.366,248.484,3.3005,4.0979,1.03e-07,7.1e-09,123.53,100.98,99.57,269.99,3.6
41.8,3707.42,242.161,3.3352,4.3168,1.03e-07,7.1e-09,123.54,100.98,99.58,270.0,3.6
42.9,3708.495,239.366,3.3474,4.1917,1.03e-07,7.12e-09,123.54,100.98,99.58,270.0,3.6
44.0,3709.568,251.007,3.3409,4.1917,1.02e-07,7.13e-09,123.54,100.98,99.57,270.0,3.6
45.0,3710.609,240.632,3.3859,4.6297,1.02e-07,7.25e-09,123.54,100.98,99.57,269.99,3.6
46.0,3711.643,242.776,3.4816,5.5055,1.03e-07,7.18e-09,123.54,100.98,99.58,270.0,3.6
47.1,3712.696,251.982,3.1522,4.1292,1.02e-07,7.16e-09,123.54,100.98,99.58,269.99,3.6
48.1,3713.729,249.766,3.3868,4.2856,1.02e-07,7.05e-09,123.54,100.98,99.57,270.0,3.6
49.2,3714.775,246.496,3.3925,4.1917,1.03e-07,7.14e-09,123.54,100.98,99.57,270.01,3.6
50.2,3715.81,202.301,3.3634,4.2543,1.03e-07,7.21e-09,123.54,100.98,99.58,270.0,3.6
51.2,3716.846,243.141,3.308,3.441,1.03e-07,7.22e-09,123.54,100.98,99.57,270.0,3.6
