block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,1813.58,115.826,3.0941,4.1292,1.03e-07,6.59e-09,120.37,98.54,101.65,269.99,2.4
1.0,1814.613,118.501,3.0903,4.1917,1.04e-07,6.53e-09,120.37,98.54,101.64,269.99,2.4
2.1,1815.66,122.977,3.1297,4.5671,1.03e-07,6.56e-09,120.37,98.54,101.65,270.0,2.4
3.1,1816.692,115.15,3.11,4.0979,1.03e-07,6.62e-09,120.37,98.54,101.64,270.0,2.4
4.2,1817.748,112.718,3.1541,4.442,1.03e-07,6.57e-09,120.37,98.54,101.65,270.01,2.4
5.2,1818.809,125.799,3.1438,4.4733,1.03e-07,6.62e-09,120.37,98.54,101.64,270.0,2.4
6.3,1819.876,121.792,3.1569,4.5045,1.03e-07,6.64e-09,120.37,98.54,101.63,270.0,2.4
7.4,1820.943,118.829,3.1325,3.8163,1.03e-07,6.56e-09,120.37,98.54,101.64,269.99,2.4
8.4,1822.0,116.287,3.1147,4.0666,1.03e-07,6.55e-09,120.37,98.54,101.64,269.99,2.4
9.5,1823.051,129.689,3.1522,4.4733,1.03e-07,6.59e-09,120.37,98.54,101.66,270.0,2.4
10.5,1824.085,116.534,3.1269,4.4733,1.04e-07,6.64e-09,120.37,98.54,101.65,269.99,2.4
11.5,1825.129,122.562,3.1701,4.5984,1.04e-07,6.65e-09,120.37,98.54,101.65,270.0,2.4
12.6,1826.16,118.254,3.1109,4.3794,1.02e-07,6.55e-09,120.37,98.54,101.64,270.0,2.4
13.6,1827.199,119.252,3.1166,4.3481,1.03e-07,6.63e-09,120.37,98.54,101.64,270.0,2.4
14.7,1828.259,112.33,3.1297,4.5671,1.03e-07,6.56e-09,120.36,98.54,101.63,269.99,2.4
15.7,1829.295,119.784,3.1353,4.3168,1.03e-07,6.54e-09,120.36,98.54,101.64,269.99,2.4
16.8,1830.344,114.92,3.171,4.4733,1.03e-07,6.57e-09,120.36,98.54,101.64,270.01,2.4
17.8,1831.379,123.377,3.1363,4.2543,1.03e-07,6.62e-09,120.36,98.54,101.64,270.01,2.4
18.9,1832.433,116.533,3.1428,4.3168,1.03e-07,6.65e-09,120.37,98.54,101.65,270.0,2.4
19.9,1833.47,125.604,3.0631,4.0979,1.03e-07,6.58e-09,120.37,98.54,101.65,270.0,2.4
20.9,1834.502,126.798,3.1541,4.5045,1.02e-07,6.53e-09,120.37,98.54,101.65,270.0,2.4
22.0,1835.554,125.98,3.1184,4.0353,1.03e-07,6.55e-09,120.37,98.54,101.65,269.99,2.4
23.0,1836.592,123.115,3.0856,4.004,1.03e-07,6.61e-09,120.37,98.54,101.64,269.99,2.4
24.1,1837.645,120.27,3.1306,4.6297,1.03e-07,6.65e-09,120.37,98.54,101.65,270.0,2.4
25.1,1838.68,118.923,3.1353,4.5045,1.03e-07,6.55e-09,120.37,98.54,101.64,270.0,2.4
26.1,1839.712,112.412,3.0819,4.5358,1.03e-07,6.63e-09,120.36,98.54,101.65,270.01,2.4
27.2,1840.775,119.378,3.1325,4.5984,1.03e-07,6.57e-09,120.37,98.53,101.65,270.0,2.4
28.3,1841.853,128.626,3.1278,4.5045,1.02e-07,6.54e-09,120.37,98.54,101.64,270.0,2.4
29.3,1842.893,119.992,3.1213,3.8476,1.03e-07,6.55e-09,120.37,98.54,101.64,269.99,2.4
30.4,1843.943,127.388,3.0837,4.442,1.03e-07,6.62e-09,120.37,98.54,101.65,269.99,2.4
31.4,1844.98,117.276,3.1269,4.223,1.03e-07,6.63e-09,120.37,98.54,101.65,270.0,2.4
32.5,1846.048,130.429,3.1194,3.9727,1.03e-07,6.55e-09,120.36,98.54,101.66,270.01,2.4
33.5,1847.104,123.815,3.1766,4.6297,1.02e-07,6.52e-09,120.37,98.54,101.64,270.01,2.4
34.6,1848.176,117.485,3.1034,4.0666,1.03e-07,6.55e-09,120.36,98.54,101.64,270.0,2.4
35.6,1849.207,113.694,3.1748,4.1604,1.04e-07,6.53e-09,120.37,98.54,101.64,269.99,2.4
36.7,1850.271,113.202,3.0922,4.2856,1.04e-07,6.54e-09,120.37,98.54,101.65,270.0,2.4
37.7,1851.306,114.222,3.0884,4.4733,1.03e-07,6.63e-09,120.36,98.54,101.65,270.0,2.4
38.8,1852.36,113.468,3.1344,4.7235,1.03e-07,6.6e-09,120.36,98.54,101.65,270.01,2.4
39.8,1853.393,123.486,3.0828,4.1292,1.03e-07,6.55e-09,120.37,98.54,101.64,270.01,2.4
40.9,1854.455,115.186,3.1485,4.442,1.04e-07,6.5e-09,120.37,98.54,101.64,270.0,2.4
42.0,1855.53,125.911,3.0884,3.9727,1.02e-07,6.56e-09,120.37,98.54,101.65,270.0,2.4
43.0,1856.588,117.439,3.1607,4.5984,1.03e-07,6.6e-09,120.37,98.54,101.65,269.99,2.4
44.1,1857.654,120.236,3.1241,4.0353,1.02e-07,6.64e-09,120.37,98.54,101.65,269.99,2.4
45.1,1858.689,112.629,3.1241,4.1604,1.04e-07,6.56e-09,120.37,98.54,101.66,270.0,2.4
46.2,1859.745,112.195,3.1428,4.6609,1.03e-07,6.61e-09,120.37,98.54,101.65,270.0,2.4
47.2,1860.786,122.62,3.095,4.1292,1.03e-07,6.56e-09,120.37,98.54,101.65,270.0,2.4
48.3,1861.837,127.53,3.1175,4.3794,1.03e-07,6.51e-09,120.37,98.54,101.64,270.0,2.4
49.3,1862.869,117.792,3.1222,4.5045,1.03e-07,6.53e-09,120.37,98.54,101.64,269.99,2.4
50.3,1863.903,119.77,3.1522,4.6609,1.03e-07,6.62e-09,120.37,98.54,101.64,269.99,2.0
51.4,1864.949,118.93,3.1184,4.5984,1.04e-07,6.62e-09,120.37,98.54,101.64,270.0,2.0
52.4,1865.989,118.687,3.0997,4.1917,1.03e-07,6.57e-09,120.37,98.54,101.64,270.0,2.0
53.5,1867.049,121.57,3.0865,3.9102,1.04e-07,6.5e-09,120.37,98.54,101.65,270.0,2.0
54.5,1868.086,114.875,3.1325,4.442,1.02e-07,6.53e-09,120.37,98.54,101.64,269.99,2.0
55.6,1869.134,117.233,3.1109,4.0979,1.03e-07,6.59e-09,120.37,98.53,101.65,270.0,2.0
56.6,1870.169,117.834,3.1382,4.6297,1.03e-07,6.64e-09,120.37,98.54,101.65,269.99,2.0
57.6,1871.203,116.431,3.1213,4.442,1.03e-07,6.6e-09,120.37,98.54,101.65,269.99,2.0
58.7,1872.262,121.327,3.0809,4.1604,1.03e-07,6.65e-09,120.37,98.54,101.64,270.0,2.0
59.7,1873.295,116.869,3.1447,4.5045,1.03e-07,6.55e-09,120.37,98.54,101.64,270.01,2.4
