block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5001.16,195.656,3.2245,4.8799,1.05e-07,6.36e-09,128.6,97.37,101.15,270.0,3.6
1.0,5002.195,196.186,2.9523,5.1614,1.05e-07,6.33e-09,128.6,97.37,101.15,269.99,3.6
2.1,5003.251,195.184,3.248,4.4107,1.05e-07,6.44e-09,128.6,97.37,101.15,270.0,3.6
3.1,5004.287,195.456,3.2339,4.3794,1.05e-07,6.35e-09,128.6,97.37,101.15,270.0,3.6
4.2,5005.336,197.216,2.9317,5.5368,1.06e-07,6.38e-09,128.6,97.38,101.16,270.0,3.6
5.2,5006.389,172.043,3.247,4.442,1.05e-07,6.36e-09,128.6,97.37,101.16,270.0,3.6
6.3,5007.472,187.951,3.2536,5.4117,1.05e-07,6.38e-09,128.59,97.37,101.16,269.99,3.6
7.4,5008.541,188.528,3.2545,4.4733,1.05e-07,6.45e-09,128.59,97.38,101.16,269.99,3.6
8.4,5009.59,197.866,3.0133,5.0989,1.05e-07,6.37e-09,128.59,97.38,101.15,270.0,3.6
9.5,5010.641,190.417,3.2414,4.3794,1.05e-07,6.26e-09,128.59,97.38,101.16,270.01,3.6
10.5,5011.678,195.075,3.1541,4.4107,1.05e-07,6.34e-09,128.6,97.39,101.16,269.99,3.6
11.6,5012.71,190.569,3.2695,4.4107,1.04e-07,6.4e-09,128.59,97.39,101.16,269.99,3.6
12.6,5013.773,194.876,3.2386,4.442,1.05e-07,6.46e-09,128.6,97.38,101.16,269.99,3.6
13.6,5014.806,188.807,3.2602,4.4107,1.05e-07,6.55e-09,128.59,97.38,101.15,270.0,3.6
14.7,5015.864,192.807,3.248,4.4107,1.04e-07,6.47e-09,128.6,97.38,101.15,270.01,3.6
15.7,5016.899,195.728,3.2639,4.4107,1.06e-07,6.41e-09,128.6,97.38,101.16,270.0,3.6
16.8,5017.95,192.687,3.2564,4.3794,1.05e-07,6.48e-09,128.6,97.38,101.16,269.99,3.6
17.8,5018.989,168.772,3.2667,4.4107,1.06e-07,6.33e-09,128.6,97.37,101.16,269.99,3.6
18.9,5020.039,190.79,2.9458,4.4107,1.05e-07,6.42e-09,128.6,97.38,101.16,269.99,3.6
19.9,5021.079,186.315,3.262,4.442,1.05e-07,6.4e-09,128.61,97.37,101.16,269.99,3.6
21.0,5022.114,191.982,3.1513,4.442,1.05e-07,6.37e-09,128.6,97.37,101.16,270.0,3.6
22.0,5023.163,169.706,3.2526,4.4107,1.05e-07,6.28e-09,128.6,97.37,101.16,270.01,3.6
23.0,5024.196,197.402,3.2114,4.5358,1.05e-07,6.34e-09,128.6,97.38,101.16,270.0,3.6
24.1,5025.257,191.444,2.8435,4.4107,1.05e-07,6.4e-09,128.6,97.38,101.15,269.99,3.6
25.1,5026.29,190.549,3.0659,4.9425,1.05e-07,6.47e-09,128.6,97.38,101.15,270.0,3.6
26.2,5027.344,167.623,3.14,4.8173,1.05e-07,6.42e-09,128.6,97.38,101.16,269.99,3.6
27.2,5028.389,193.646,3.2658,4.4733,1.04e-07,6.5e-09,128.6,97.39,101.15,270.0,3.6
28.3,5029.462,197.46,2.9355,5.4117,1.05e-07,6.49e-09,128.6,97.38,101.16,270.0,3.6
29.4,5030.536,193.458,2.8547,5.1614,1.05e-07,6.35e-09,128.6,97.38,101.16,270.0,3.6
30.4,5031.592,191.407,2.8867,5.4743,1.05e-07,6.43e-09,128.59,97.38,101.16,269.99,3.6
