block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,8322.766,240.527,3.2602,4.6922,1.03e-07,2.09e-08,120.0,102.25,99.39,269.99,3.6
1.1,8323.817,239.796,3.2639,4.6922,1.04e-07,2.07e-08,119.99,102.25,99.4,269.99,3.6
2.1,8324.85,240.322,3.2611,4.5358,1.03e-07,2.09e-08,119.99,102.25,99.4,270.01,3.6
3.1,8325.883,234.46,3.2977,4.5984,1.03e-07,2.06e-08,119.99,102.25,99.4,270.01,3.6
4.2,8326.945,247.308,3.2686,4.7861,1.04e-07,2.08e-08,119.99,102.25,99.39,270.01,3.6
5.2,8328.012,237.454,3.2808,4.5671,1.04e-07,2.08e-08,119.98,102.25,99.39,269.99,3.2
6.3,8329.045,241.891,3.2724,4.6297,1.03e-07,2.1e-08,119.99,102.25,99.39,269.99,3.2
7.3,8330.075,238.988,3.2902,4.3794,1.03e-07,2.08e-08,119.99,102.25,99.39,269.99,3.2
8.4,8331.132,241.866,3.2836,4.5358,1.03e-07,2.07e-08,120.0,102.26,99.39,270.0,3.2
9.4,8332.176,243.024,3.2761,4.5671,1.03e-07,2.08e-08,120.0,102.26,99.4,270.0,3.2
10.5,8333.226,237.708,3.2724,4.7861,1.03e-07,2.08e-08,120.0,102.26,99.39,270.01,3.2
11.5,8334.259,242.434,3.2639,4.5045,1.03e-07,2.09e-08,120.0,102.26,99.39,270.01,3.2
12.6,8335.319,244.996,3.2724,4.6609,1.03e-07,2.08e-08,120.0,102.26,99.39,270.0,3.2
13.6,8336.354,241.285,3.2902,4.3794,1.03e-07,2.06e-08,120.01,102.26,99.39,269.99,3.2
14.6,8337.388,244.597,3.262,4.5984,1.03e-07,2.07e-08,120.01,102.26,99.39,269.99,3.2
15.7,8338.439,234.559,3.2836,4.4107,1.04e-07,2.08e-08,120.01,102.26,99.39,269.99,3.6
16.7,8339.472,227.713,3.2686,4.5671,1.04e-07,2.08e-08,120.01,102.26,99.39,270.0,3.6
17.8,8340.54,245.258,3.2714,4.5358,1.03e-07,2.08e-08,120.01,102.26,99.39,270.0,3.6
18.8,8341.61,241.843,3.2714,4.4107,1.03e-07,2.1e-08,120.01,102.25,99.4,270.0,3.6
19.9,8342.674,244.638,3.2968,4.5045,1.03e-07,2.08e-08,120.0,102.25,99.39,270.0,3.6
21.0,8343.751,238.691,3.277,4.5984,1.03e-07,2.07e-08,120.0,102.26,99.39,269.99,3.6
22.0,8344.784,246.634,3.2874,4.4733,1.03e-07,2.08e-08,120.0,102.25,99.39,270.0,3.6
23.1,8345.835,242.252,3.2677,4.4733,1.03e-07,2.09e-08,120.0,102.25,99.39,270.0,3.6
24.1,8346.878,241.88,3.263,4.6922,1.04e-07,2.09e-08,120.0,102.25,99.39,270.0,3.6
25.2,8347.937,238.778,3.262,4.442,1.04e-07,2.09e-08,120.0,102.25,99.39,270.0,3.6
26.2,8348.973,238.128,3.2714,4.5671,1.03e-07,2.08e-08,120.0,102.25,99.4,269.99,3.6
27.3,8350.023,238.306,3.2883,4.6609,1.04e-07,2.09e-08,120.01,102.26,99.39,270.0,3.6
28.3,8351.06,237.638,3.277,4.7548,1.04e-07,2.07e-08,119.99,102.26,99.39,270.0,3.6
29.3,8352.09,239.546,3.2789,4.4107,1.03e-07,2.07e-08,119.99,102.26,99.39,270.01,3.6
30.4,8353.143,239.882,3.2733,4.5358,1.03e-07,2.09e-08,119.99,102.26,99.39,269.99,3.6
31.4,8354.175,246.247,3.2986,4.5671,1.03e-07,2.1e-08,119.99,102.26,99.39,270.0,3.6
32.5,8355.224,240.533,3.2724,4.5358,1.04e-07,2.11e-08,120.0,102.26,99.39,269.99,3.6
33.5,8356.258,239.044,3.278,4.5671,1.04e-07,2.07e-08,120.0,102.26,99.39,270.01,3.6
34.5,8357.29,237.734,3.2545,4.7861,1.03e-07,2.08e-08,120.0,102.26,99.39,270.0,3.6
35.6,8358.337,243.79,3.2686,4.5045,1.03e-07,2.09e-08,120.01,102.25,99.39,269.99,3.2
36.6,8359.372,240.302,3.2808,4.5984,1.03e-07,2.1e-08,120.0,102.26,99.39,270.0,3.2
37.7,8360.427,239.24,3.308,4.7235,1.03e-07,2.08e-08,120.01,102.25,99.39,270.0,3.2
