block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,9495.252,178.364,3.1748,3.7225,9.18e-08,5.83e-09,123.72,98.41,97.44,269.99,5.6
1.2,9496.368,179.542,3.1344,4.1917,9.29e-08,5.96e-09,123.73,98.41,97.44,269.99,5.6
2.3,9497.499,159.791,2.8566,3.8163,9.22e-08,5.95e-09,123.72,98.41,97.44,269.99,5.6
3.4,9498.608,167.717,3.1776,4.1604,9.2e-08,5.94e-09,123.72,98.41,97.44,269.99,5.6
4.6,9499.742,179.753,3.0481,4.4733,9.26e-08,6e-09,123.72,98.41,97.44,270.0,5.6
5.7,9500.855,182.999,3.1213,4.223,9.05e-08,5.98e-09,123.72,98.41,97.44,270.0,5.6
6.8,9501.965,162.366,2.8088,4.1292,9.26e-08,5.79e-09,123.72,98.41,97.44,270.0,5.6
7.9,9503.081,178.458,3.1588,4.0353,9.35e-08,5.89e-09,123.73,98.42,97.44,269.99,5.6
9.0,9504.22,162.635,3.0171,4.0666,9.11e-08,5.89e-09,123.73,98.41,97.44,269.99,5.6
10.2,9505.355,182.972,2.7844,3.7538,9.21e-08,5.85e-09,123.72,98.41,97.44,269.99,5.6
11.3,9506.476,166.102,3.1738,4.1292,9.15e-08,5.9e-09,123.73,98.41,97.44,270.01,5.6
12.4,9507.594,151.917,3.1663,4.3168,9.2e-08,5.83e-09,123.73,98.42,97.44,270.01,5.6
13.6,9508.744,183.608,3.1541,4.3794,9.09e-08,5.93e-09,123.72,98.42,97.44,270.01,5.6
14.7,9509.863,181.44,2.8604,3.9727,9.18e-08,6.01e-09,123.72,98.42,97.44,270.0,5.6
15.8,9510.976,182.228,2.8003,4.0979,9.21e-08,5.97e-09,123.72,98.42,97.44,269.99,5.6
16.9,9512.098,177.653,2.7975,3.9415,9.19e-08,5.88e-09,123.72,98.42,97.44,269.99,5.6
18.1,9513.244,162.001,3.1607,4.004,9.26e-08,5.94e-09,123.72,98.42,97.44,270.0,5.6
19.2,9514.363,150.399,3.126,4.1604,9.1e-08,5.83e-09,123.72,98.41,97.44,270.01,5.6
20.3,9515.484,178.493,3.1879,4.442,9.17e-08,5.91e-09,123.71,98.41,97.44,270.01,5.6
21.4,9516.592,182.911,2.7994,4.0979,9.22e-08,5.85e-09,123.72,98.41,97.44,269.99,5.6
22.5,9517.712,173.845,3.1016,4.2543,9.21e-08,5.9e-09,123.72,98.41,97.44,270.0,5.6
