block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2819.596,212.766,3.2611,5.2553,1.04e-07,9.95e-09,123.63,99.64,101.71,269.99,2.8
1.1,2820.675,207.309,3.2329,5.2553,1.04e-07,1e-08,123.63,99.63,101.71,270.0,2.8
2.2,2821.782,217.144,3.2545,5.2553,1.04e-07,1e-08,123.63,99.63,101.71,270.0,2.8
3.3,2822.849,209.659,3.262,5.2553,1.04e-07,1e-08,123.63,99.64,101.7,270.0,2.8
4.4,2823.927,211.529,3.2498,5.2553,1.04e-07,9.97e-09,123.63,99.64,101.71,269.99,2.8
5.5,2825.005,213.138,3.2461,5.3179,1.04e-07,9.92e-09,123.63,99.64,101.71,269.99,2.8
6.5,2826.091,214.261,3.2602,5.2553,1.04e-07,9.94e-09,123.62,99.63,101.71,270.01,2.8
7.7,2827.21,213.055,3.2611,5.2553,1.04e-07,9.93e-09,123.63,99.63,101.71,270.01,2.8
8.8,2828.304,215.804,3.2404,5.3179,1.04e-07,1e-08,123.62,99.63,101.71,270.01,2.8
9.8,2829.389,214.89,3.2545,5.2553,1.04e-07,9.99e-09,123.62,99.63,101.71,270.0,2.8
10.9,2830.47,211.077,3.2386,5.2866,1.04e-07,1e-08,123.62,99.63,101.71,269.99,2.8
12.0,2831.526,210.761,3.2648,5.2866,1.04e-07,9.97e-09,123.62,99.63,101.71,269.99,2.8
13.1,2832.613,209.189,3.2545,5.2866,1.04e-07,9.85e-09,123.62,99.63,101.71,270.0,2.8
14.1,2833.692,211.958,3.2526,5.2866,1.04e-07,9.92e-09,123.61,99.63,101.71,270.0,2.8
15.2,2834.749,208.305,3.2611,5.2553,1.04e-07,9.99e-09,123.61,99.63,101.71,270.01,2.8
16.3,2835.828,214.071,3.2508,5.2553,1.04e-07,1e-08,123.61,99.63,101.71,270.0,2.8
17.4,2836.907,214.709,3.247,5.2866,1.04e-07,9.93e-09,123.6,99.63,101.71,269.99,2.8
18.4,2837.984,211.404,3.2339,5.3179,1.04e-07,1e-08,123.6,99.64,101.71,269.99,2.8
19.5,2839.045,210.059,3.247,5.2866,1.04e-07,9.98e-09,123.6,99.64,101.71,269.99,2.8
20.6,2840.175,210.909,3.2442,5.2553,1.04e-07,9.89e-09,123.6,99.63,101.7,269.99,2.8
21.7,2841.286,211.263,3.248,5.2866,1.04e-07,9.96e-09,123.6,99.64,101.71,270.01,2.8
22.8,2842.378,210.203,3.2461,5.2866,1.04e-07,9.91e-09,123.6,99.63,101.71,270.0,3.2
23.9,2843.469,211.697,3.2555,5.2553,1.04e-07,9.83e-09,123.59,99.63,101.71,270.0,3.2
25.0,2844.533,211.539,3.2451,5.2553,1.04e-07,1e-08,123.58,99.63,101.71,269.99,3.2
26.1,2845.606,210.892,3.2611,5.2553,1.04e-07,1.01e-08,123.59,99.63,101.71,269.99,3.2
27.1,2846.686,216.861,3.262,5.2553,1.04e-07,9.92e-09,123.59,99.63,101.71,269.99,3.2
28.2,2847.748,209.926,3.2573,5.224,1.04e-07,9.89e-09,123.61,99.63,101.71,270.0,3.2
29.3,2848.83,208.81,3.2423,5.2553,1.04e-07,9.88e-09,123.59,99.63,101.71,270.01,3.2
30.4,2849.905,212.333,3.2526,5.224,1.04e-07,9.85e-09,123.59,99.63,101.71,269.99,3.2
31.4,2850.987,212.25,3.2555,5.2553,1.04e-07,9.89e-09,123.6,99.63,101.71,270.0,3.2
32.5,2852.094,209.062,3.247,5.2553,1.04e-07,9.98e-09,123.6,99.63,101.71,270.0,3.2
33.7,2853.21,212.765,3.2677,5.2553,1.04e-07,1e-08,123.6,99.63,101.71,270.0,2.8
34.7,2854.277,210.102,3.248,5.2866,1.04e-07,9.95e-09,123.6,99.63,101.71,270.0,2.8
35.8,2855.338,209.46,3.2348,5.2553,1.04e-07,1.01e-08,123.61,99.63,101.71,270.0,2.8
36.9,2856.415,210.777,3.2545,5.2553,1.04e-07,9.97e-09,123.61,99.63,101.71,270.0,2.8
37.9,2857.489,211.918,3.2489,5.2866,1.04e-07,9.9e-09,123.6,99.63,101.71,269.99,2.8
39.0,2858.574,212.307,3.2498,5.2553,1.04e-07,9.91e-09,123.59,99.63,101.71,269.99,2.8
40.1,2859.641,217.395,3.2423,5.2553,1.04e-07,9.96e-09,123.6,99.63,101.71,270.0,2.8
41.2,2860.714,212.776,3.2526,5.2866,1.04e-07,1e-08,123.61,99.63,101.71,270.0,2.8
42.2,2861.791,206.74,3.247,5.2553,1.04e-07,9.94e-09,123.6,99.63,101.71,270.0,2.8
43.3,2862.848,211.697,3.2564,5.2866,1.04e-07,1e-08,123.6,99.64,101.71,270.0,2.8
44.4,2863.924,212.185,3.2648,5.2866,1.04e-07,1e-08,123.6,99.64,101.71,269.99,2.8
45.5,2865.008,213.783,3.2433,5.2553,1.04e-07,9.87e-09,123.59,99.64,101.71,269.99,2.8
46.6,2866.117,212.421,3.248,5.2866,1.04e-07,9.93e-09,123.59,99.63,101.71,269.99,2.8
47.7,2867.225,213.08,3.232,5.224,1.04e-07,9.93e-09,123.59,99.63,101.71,270.0,2.8
48.7,2868.295,211.642,3.2442,5.2553,1.04e-07,1e-08,123.59,99.63,101.71,270.01,2.8
49.8,2869.381,212.837,3.2451,5.1927,1.04e-07,9.96e-09,123.6,99.63,101.71,270.0,2.8
50.9,2870.44,210.643,3.2611,5.224,1.04e-07,1e-08,123.59,99.63,101.71,269.99,2.8
52.0,2871.513,212.665,3.2442,5.224,1.04e-07,9.92e-09,123.59,99.63,101.71,269.99,2.8
53.0,2872.591,211.45,3.2498,5.2553,1.04e-07,9.88e-09,123.6,99.63,101.71,269.99,2.8
54.1,2873.67,213.268,3.2489,5.224,1.04e-07,9.93e-09,123.6,99.63,101.71,269.99,2.8
55.2,2874.731,209.83,3.2367,5.224,1.04e-07,9.98e-09,123.6,99.63,101.71,270.0,2.8
56.3,2875.82,210.411,3.2545,5.2553,1.04e-07,1.01e-08,123.6,99.63,101.71,270.01,2.8
57.3,2876.894,212.05,3.2517,5.224,1.04e-07,9.96e-09,123.6,99.64,101.71,270.0,2.8
58.4,2877.973,215.538,3.2386,5.2553,1.04e-07,1e-08,123.6,99.63,101.71,270.0,2.8
59.5,2879.048,208.806,3.248,5.2553,1.04e-07,9.86e-09,123.6,99.63,101.71,269.99,2.8
