block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2506.323,237.99,3.3484,3.3158,1.02e-07,5.95e-09,127.31,99.66,99.88,269.99,4.4
1.0,2507.362,258.896,3.278,3.5348,1.02e-07,5.89e-09,127.32,99.65,99.88,270.0,4.4
2.1,2508.393,268.878,3.2536,4.1604,1.01e-07,5.92e-09,127.32,99.66,99.88,270.01,4.4
3.1,2509.457,268.147,3.3334,3.6599,1.02e-07,5.95e-09,127.32,99.66,99.88,270.01,4.4
4.2,2510.51,272.471,3.2414,4.2543,1.02e-07,6.01e-09,127.31,99.65,99.88,269.99,4.4
5.2,2511.571,253.793,3.2489,3.5661,1.01e-07,6.03e-09,127.32,99.65,99.88,269.99,4.4
6.3,2512.65,239.941,3.3559,3.6287,1.02e-07,5.95e-09,127.31,99.65,99.88,269.99,4.4
7.4,2513.721,261.283,3.2846,3.9102,1.02e-07,5.8e-09,127.31,99.65,99.88,270.0,4.4
8.4,2514.754,246.797,3.3305,3.7538,1.02e-07,5.94e-09,127.31,99.64,99.88,270.0,4.4
9.5,2515.786,256.941,3.2179,3.8163,1.02e-07,5.83e-09,127.31,99.64,99.88,270.0,4.4
10.5,2516.84,245.515,3.2442,4.0353,1.02e-07,5.93e-09,127.31,99.63,99.88,270.0,4.4
11.6,2517.876,276.141,3.2921,4.0979,1.02e-07,6.04e-09,127.31,99.63,99.88,269.99,4.4
12.6,2518.923,233.984,3.445,3.3784,1.03e-07,5.94e-09,127.32,99.63,99.88,269.99,4.4
13.6,2519.962,233.926,3.262,3.5348,1.02e-07,5.96e-09,127.31,99.63,99.88,270.0,4.4
14.7,2520.992,253.986,3.3709,3.4097,1.02e-07,5.91e-09,127.32,99.63,99.88,269.99,4.4
15.7,2522.042,241.824,3.3005,4.1917,1.02e-07,5.89e-09,127.32,99.63,99.88,270.0,4.4
16.8,2523.08,255.719,3.2142,4.3794,1.02e-07,6.03e-09,127.32,99.63,99.88,270.01,4.4
17.8,2524.133,253.291,3.3249,3.6912,1.02e-07,6.03e-09,127.32,99.63,99.88,270.0,4.4
18.8,2525.17,255.832,3.3765,4.004,1.02e-07,5.96e-09,127.32,99.63,99.88,270.0,4.4
19.9,2526.226,264.247,3.399,3.2846,1.02e-07,5.86e-09,127.32,99.63,99.88,269.99,4.4
20.9,2527.267,275.667,3.2949,3.8789,1.01e-07,5.96e-09,127.32,99.64,99.88,270.0,4.4
22.0,2528.322,263.559,3.384,3.1907,1.02e-07,5.87e-09,127.32,99.64,99.88,270.0,4.4
23.0,2529.363,280.175,3.4572,4.004,1.02e-07,5.92e-09,127.32,99.64,99.88,269.99,4.4
24.1,2530.416,271.811,3.3352,3.7851,1.02e-07,6.06e-09,127.32,99.65,99.88,270.0,4.4
